Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,4064,4141,3975.05,4005.8,4134,4114.7,4062.37,4236.65,1788.65,745011,"3,026,509,211.05",52946
29-Jan-21,EQ,4168,4205.35,3990,4135.8,4023,4005.8,4096.45,4236.65,1788.65,1406268,"5,760,706,271.85",82243
28-Jan-21,EQ,4080,4190,4076.6,4146.35,4150,4135.8,4150.61,4236.65,1788.65,1262871,"5,241,684,012.70",69278
27-Jan-21,EQ,4133.4,4236.65,4108.1,4168.95,4130,4146.35,4178.57,4236.65,1788.65,2062088,"8,616,570,910.55",116044
25-Jan-21,EQ,4150,4210,4060,4089.5,4165,4168.95,4143.63,4210,1788.65,2368224,"9,813,036,230.45",138219
22-Jan-21,EQ,3749.95,4130,3740.05,3703.3,4119.25,4089.5,4025.43,4130,1788.65,8537143,"34,365,651,303.05",398043
21-Jan-21,EQ,3672,3807,3655.2,3643.95,3727.35,3703.3,3734.71,3807,1788.65,1533886,"5,728,625,996.85",90861
20-Jan-21,EQ,3640,3692.8,3629.35,3641,3640,3643.95,3663.57,3692.8,1788.65,549040,"2,011,448,867.55",34622
19-Jan-21,EQ,3565.75,3664,3561.1,3563.75,3629,3641,3627.65,3664,1788.65,586410,"2,127,291,083.25",34510
18-Jan-21,EQ,3552,3618.05,3505,3580.3,3565,3563.75,3561.64,3658.65,1788.65,602004,"2,144,121,113.75",40673
15-Jan-21,EQ,3588,3623,3541,3576.05,3581,3580.3,3590.29,3658.65,1788.65,684649,"2,458,087,402.55",38112
14-Jan-21,EQ,3600,3658.65,3545,3600.9,3572.15,3576.05,3595.75,3658.65,1788.65,743848,"2,674,693,466.85",39881
13-Jan-21,EQ,3624.25,3633,3577,3624.25,3600,3600.9,3602.58,3642.8,1788.65,515154,"1,855,883,614.75",34729
12-Jan-21,EQ,3611.95,3642.8,3558.1,3617.35,3607.3,3624.25,3609.95,3642.8,1788.65,863270,"3,116,358,005.40",59466
11-Jan-21,EQ,3531,3634.55,3521,3529.15,3624.4,3617.35,3571.6,3634.55,1788.65,788461,"2,816,064,374.15",46374
