Date,series,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,919,933.75,896.35,914,932.1,928.35,915.3,1067,375.25,8651478,"7,918,681,533.35",208551
29-Jan-21,EQ,941,949.5,909.5,933.95,914.5,914,927.73,1067,375.25,7692663,"7,136,714,192.85",160581
28-Jan-21,EQ,948.8,952.4,930.1,955.5,932,933.95,941.03,1067,375.25,6960905,"6,550,446,434.55",191909
27-Jan-21,EQ,952.1,963.25,942.5,947.5,957.4,955.5,955.55,1067,375.25,7531736,"7,196,966,517.55",247705
25-Jan-21,EQ,997,997,941,985.8,948,947.5,966.54,1067,375.25,7731883,"7,473,144,666.95",325690
22-Jan-21,EQ,991.7,1004,981.4,993.3,985.95,985.8,990,1067,375.25,5379466,"5,325,689,212.60",182218
21-Jan-21,EQ,1009,1020,982.95,999.25,991.5,993.3,1003.92,1067,375.25,8857975,"8,892,726,373.60",185089
20-Jan-21,EQ,991.75,1009.65,987.55,983.85,997.5,999.25,1001.18,1067,375.25,7444118,"7,452,887,783.00",153672
19-Jan-21,EQ,988,997,979.35,981.5,987,983.85,985.98,1067,375.25,6387923,"6,298,346,813.15",168528
18-Jan-21,EQ,1000,1004.95,976.9,989.8,978.1,981.5,990.09,1067,375.25,12947569,"12,819,240,554.90",256612
15-Jan-21,EQ,1047.65,1052.85,984,1027.7,989,989.8,1009.81,1067,375.25,23769415,"24,002,697,489.25",463474
14-Jan-21,EQ,1049,1049,1006.6,1055.95,1031,1027.7,1026.49,1067,375.25,15021108,"15,419,088,647.25",349280
13-Jan-21,EQ,1064,1067,1041,1062.1,1057,1055.95,1054.37,1067,375.25,6691409,"7,055,244,429.80",139957
12-Jan-21,EQ,1052,1065.05,1038.7,1055.1,1064,1062.1,1049.24,1065.05,375.25,6700542,"7,030,502,202.05",183794
11-Jan-21,EQ,1015,1059.05,1008,994.65,1053.25,1055.1,1033.95,1059.05,375.25,13384331,"13,838,751,594.30",259727
8-Jan-21,EQ,974.9,1003.5,970,962.55,994.15,994.65,986.68,1003.5,375.25,8034775,"7,927,736,978.75",112810
7-Jan-21,EQ,988,988.2,959.4,978.2,963.9,962.55,969.71,998,375.25,5261000,"5,101,642,454.65",104038
6-Jan-21,EQ,997.9,998,966.1,991.35,976,978.2,984.98,998,375.25,5995748,"5,905,668,068.15",142578
5-Jan-21,EQ,967.2,995.8,967.2,980.4,992.5,991.35,985.02,995.8,375.25,7150252,"7,043,170,176.50",121058
4-Jan-21,EQ,959,984.7,952.65,950.5,978.3,980.4,968.71,984.7,375.25,5259092,"5,094,523,210.90",96212
1-Jan-21,EQ,942,955.5,942,946.15,950.25,950.5,950.65,955.5,375.25,3142822,"2,987,712,518.10",52922
31-Dec-20,EQ,939.05,949.85,935,940.7,946.4,946.15,942.19,950,375.25,3468390,"3,267,889,419.30",63219
30-Dec-20,EQ,938,950,931,935.9,941.15,940.7,940.88,950,375.25,6382809,"6,005,437,042.05",129019
29-Dec-20,EQ,929,945,925.25,921.8,936,935.9,936.61,945,375.25,6760167,"6,331,637,870.85",121535
28-Dec-20,EQ,925,927.5,913.5,919.35,922.7,921.8,921.16,935,375.25,3884750,"3,578,479,998.20",88769
24-Dec-20,EQ,927.95,928.25,910.7,922.6,917,919.35,919.19,935,375.25,4390561,"4,035,768,678.40",85401
23-Dec-20,EQ,920,935,914.8,913.8,921.9,922.6,925.27,935,375.25,10723068,"9,921,735,580.65",176400
22-Dec-20,EQ,879.15,919.25,872,870.45,917,913.8,892.93,919.25,375.25,10251896,"9,154,186,077.65",196248
21-Dec-20,EQ,886.65,910.5,850,890.65,872,870.45,892.43,910.7,375.25,8875855,"7,921,082,596.25",201257
18-Dec-20,EQ,894.75,905,886.65,879.35,890.35,890.65,897.36,910.7,375.25,11568187,"10,380,782,845.00",196000
17-Dec-20,EQ,887,887,877,885.05,878,879.35,882.14,910.7,375.25,4863371,"4,290,169,955.00",133920
16-Dec-20,EQ,886.25,892,878.45,886,882,885.05,883.95,910.7,375.25,4378179,"3,870,092,023.85",105667
15-Dec-20,EQ,874.7,889,870,873,885.1,886,883.14,910.7,375.25,7527270,"6,647,642,107.80",144698
14-Dec-20,EQ,866.1,875.65,858.1,862.25,873.7,873,866.62,910.7,375.25,5143894,"4,457,809,158.10",114180
11-Dec-20,EQ,871,881.8,855.2,866.75,865.15,862.25,867.59,910.7,375.25,5637035,"4,890,608,092.65",123619
10-Dec-20,EQ,870.55,877.8,865,870.55,869.5,866.75,869.9,910.7,375.25,4641898,"4,037,996,033.80",98691
9-Dec-20,EQ,866.1,880,864.1,863.8,871.35,870.55,874.48,910.7,375.25,5952003,"5,204,889,086.50",122920
8-Dec-20,EQ,859,875.7,856,855.3,863.2,863.8,865.6,910.7,375.25,8722526,"7,550,238,411.20",190746
7-Dec-20,EQ,858,859.95,850.4,858.5,855,855.3,854.22,910.7,375.25,5314265,"4,539,560,113.05",83690
4-Dec-20,EQ,866,867.85,854.45,862.2,858,858.5,860.55,1139,375.25,5577388,"4,799,641,241.40",147987
3-Dec-20,EQ,848.5,864,843.3,843.15,862.05,862.2,857.58,1139,375.25,9633229,"8,261,241,361.20",149310
2-Dec-20,EQ,836.15,847.45,831.3,834.1,844,843.15,839.26,1139,375.25,7062229,"5,927,067,927.40",174376
1-Dec-20,EQ,824,835.7,815.1,822.1,835,834.1,825.89,1139,375.25,8078785,"6,672,227,499.75",170411
