Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,1250.55,1277.95,1241,1239.05,1267.1,1260.9,1255.6,1392.8,509.25,8880279,"11,150,104,432.25",232672
29-Jan-21,EQ,1286.25,1291.15,1231,1276.2,1250,1239.05,1253.29,1392.8,509.25,12183519,"15,269,437,394.85",268406
28-Jan-21,EQ,1291.8,1296.45,1272.55,1301,1276.5,1276.2,1283.02,1392.8,509.25,4660690,"5,979,774,972.30",212130
27-Jan-21,EQ,1319.6,1327.55,1285.1,1325.1,1300.5,1301,1308.99,1392.8,509.25,8133665,"10,646,861,260.40",285525
25-Jan-21,EQ,1345,1347.9,1313,1340.85,1335,1325.1,1337.58,1392.8,509.25,6542611,"8,751,273,546.85",159466
22-Jan-21,EQ,1327,1356,1326.55,1339.7,1336,1340.85,1344.65,1392.8,509.25,9646591,"12,971,261,022.25",188343
21-Jan-21,EQ,1350,1361.05,1335,1339.45,1342,1339.7,1344.32,1392.8,509.25,6142421,"8,257,354,257.80",156050
20-Jan-21,EQ,1320.55,1348.4,1320.55,1316.65,1338.85,1339.45,1338.37,1392.8,509.25,8225838,"11,009,221,845.75",195330
19-Jan-21,EQ,1320,1331,1312,1312.05,1319.35,1316.65,1320.27,1392.8,509.25,5585744,"7,374,694,216.10",178275
18-Jan-21,EQ,1338,1340,1306,1344.95,1311,1312.05,1320.52,1392.8,509.25,8861765,"11,702,148,822.35",230056
15-Jan-21,EQ,1360,1364.45,1340,1370.5,1343.4,1344.95,1352.96,1392.8,509.25,15018441,"20,319,423,540.10",278300
14-Jan-21,EQ,1360,1384,1318.45,1387.15,1370.5,1370.5,1359.34,1392.8,509.25,27521697,"37,411,219,055.40",530803
13-Jan-21,EQ,1373.85,1392.8,1360,1371.75,1388.65,1387.15,1378.96,1392.8,509.25,14442997,"19,916,243,435.80",304458
12-Jan-21,EQ,1378,1378,1360,1376.2,1376.5,1371.75,1369.78,1383.35,509.25,8309868,"11,382,710,088.05",264378
11-Jan-21,EQ,1342.1,1383.35,1340,1312.1,1375.95,1376.2,1366.8,1383.35,509.25,20528626,"28,058,554,925.95",387124
8-Jan-21,EQ,1278.25,1316.8,1278.25,1262.15,1311.5,1312.1,1298.1,1316.8,509.25,13186251,"17,117,011,224.65",227983
7-Jan-21,EQ,1296,1297.65,1255.5,1282.1,1266.5,1262.15,1266.59,1302,509.25,10954918,"13,875,416,120.90",236192
6-Jan-21,EQ,1300,1302,1268.05,1293.8,1282.5,1282.1,1288.38,1302,509.25,7161715,"9,226,975,582.30",178942
5-Jan-21,EQ,1282,1299,1275.05,1288.25,1290.35,1293.8,1289.82,1299,509.25,8145280,"10,505,964,474.35",168537
4-Jan-21,EQ,1269,1290,1261.15,1260.45,1288,1288.25,1278.28,1290,509.25,7208454,"9,214,400,329.00",189946
1-Jan-21,EQ,1257.9,1265.5,1255.8,1255.8,1259.5,1260.45,1261.66,1265.5,509.25,4253550,"5,366,530,407.75",97445
31-Dec-20,EQ,1243,1258.4,1239,1246.8,1253.5,1255.8,1249.41,1258.85,509.25,7430470,"9,283,731,807.85",117406
30-Dec-20,EQ,1253,1253.3,1238.15,1250.3,1244,1246.8,1247.48,1258.85,509.25,5194690,"6,480,283,008.90",107704
29-Dec-20,EQ,1235,1254.45,1235,1240.3,1249.85,1250.3,1246.33,1258.85,509.25,6878105,"8,572,419,679.20",132402
28-Dec-20,EQ,1238.45,1248,1236,1236.05,1239.45,1240.3,1240.58,1258.85,509.25,4607051,"5,715,406,465.10",123013
24-Dec-20,EQ,1249.9,1249.9,1226,1253.05,1237.35,1236.05,1236.34,1258.85,509.25,7313885,"9,042,415,622.95",172066
23-Dec-20,EQ,1238,1258.85,1230.55,1220.5,1252,1253.05,1245.77,1258.85,509.25,15878346,"19,780,713,238.45",277251
22-Dec-20,EQ,1182,1223.85,1176.1,1177.3,1219.95,1220.5,1200.28,1223.85,509.25,10901851,"13,085,219,235.00",249518
21-Dec-20,EQ,1188,1209.75,1152.05,1189.8,1174,1177.3,1192.94,1209.75,509.25,10858352,"12,953,347,754.60",246658
18-Dec-20,EQ,1182.85,1195,1175.6,1159.2,1186,1189.8,1187.95,1195,509.25,15995676,"19,002,082,921.70",279675
17-Dec-20,EQ,1165.9,1168.9,1156.2,1165.7,1158.6,1159.2,1162.88,1186,509.25,6658153,"7,742,601,947.25",204147
16-Dec-20,EQ,1160,1168.9,1153.6,1154.6,1164,1165.7,1160.77,1186,509.25,7788404,"9,040,530,195.00",158579
15-Dec-20,EQ,1156,1163.7,1152,1164.55,1154.4,1154.6,1156.78,1186,509.25,6905926,"7,988,669,803.50",177326
14-Dec-20,EQ,1169.4,1172.6,1148.2,1163.2,1163.5,1164.55,1159.72,1186,509.25,6728187,"7,802,805,823.50",186990
11-Dec-20,EQ,1159.7,1171.95,1155.25,1167.75,1165.2,1163.2,1163.84,1186,509.25,10574009,"12,306,503,429.55",178023
10-Dec-20,EQ,1157.4,1171.65,1150,1175.2,1168,1167.75,1164.18,1186,509.25,9488782,"11,046,635,082.65",295020
9-Dec-20,EQ,1168.05,1179.5,1157,1153.35,1176.55,1175.2,1169.97,1186,509.25,10039346,"11,745,774,021.15",274494
8-Dec-20,EQ,1145,1167,1145,1143.5,1153,1153.35,1154.21,1186,509.25,12308330,"14,206,387,606.60",272695
7-Dec-20,EQ,1147.3,1153,1136,1134.65,1142.95,1143.5,1142.07,1186,509.25,7792141,"8,899,186,636.30",168273
4-Dec-20,EQ,1125,1137,1115,1126.45,1134.5,1134.65,1127.86,1186,509.25,10564055,"11,914,725,948.45",167778
3-Dec-20,EQ,1147,1147,1122.7,1140.9,1125,1126.45,1128.63,1186,509.25,16212632,"18,298,022,227.75",247732
2-Dec-20,EQ,1134,1147.45,1121,1137.85,1142,1140.9,1130.35,1186,509.25,6741637,"7,620,426,542.50",153925
1-Dec-20,EQ,1105.05,1140.25,1105.05,1100,1137.05,1137.85,1129.13,1186,509.25,8933802,"10,087,463,062.05",227850
27-Nov-20,EQ,1118,1121,1091,1113.2,1112.35,1100,1103.85,1186,509.25,25306145,"27,934,277,723.70",238942
26-Nov-20,EQ,1119.95,1119.95,1098.3,1115.65,1118,1113.2,1105.6,1186,509.25,10962256,"12,119,904,676.30",207324
25-Nov-20,EQ,1137,1143.5,1111.25,1140.05,1118.8,1115.65,1124.52,1186,509.25,8958701,"10,074,223,659.60",220995
24-Nov-20,EQ,1145,1154.9,1133.35,1139.85,1140.15,1140.05,1142.6,1186,509.25,8515426,"9,729,744,009.85",175511
23-Nov-20,EQ,1105,1144.8,1101.95,1103.35,1138.5,1139.85,1128.46,1186,509.25,10546363,"11,901,155,594.05",200221
20-Nov-20,EQ,1106,1109,1091.1,1096.75,1104.45,1103.35,1101.92,1186,509.25,8063554,"8,885,377,125.80",199981
19-Nov-20,EQ,1100,1114.7,1093.8,1110.55,1097,1096.75,1102.13,1186,509.25,10092343,"11,123,110,241.35",179639
18-Nov-20,EQ,1128.5,1132.7,1101.45,1123.7,1111.25,1110.55,1111.01,1186,509.25,9839468,"10,931,765,778.50",168106
17-Nov-20,EQ,1144.75,1145,1112.65,1133.45,1125.25,1123.7,1122.2,1186,509.25,12813968,"14,379,842,098.00",190186
