Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,3100,3165,3044.1,"3,111.35","3,150.00",3139.35,"3,098.04","3,339.80","1,506.05",3985846,"12,348,318,212.80",280031
29-Jan-21,EQ,3210.05,3216.85,3100,"3,196.55","3,126.95",3111.35,"3,142.99","3,339.80","1,506.05",5445659,"17,115,646,045.40",185207
28-Jan-21,EQ,3230,3275,3183.8,"3,261.05","3,202.95",3196.55,"3,221.23","3,339.80","1,506.05",3083938,"9,934,065,466.35",154535
27-Jan-21,EQ,3300,3306.45,3227,"3,291.30","3,263.00",3261.05,"3,265.48","3,339.80","1,506.05",2786662,"9,099,782,354.05",175811
25-Jan-21,EQ,3308.95,3339.8,3278.65,"3,303.10","3,298.00",3291.3,"3,314.24","3,339.80","1,506.05",2272887,"7,532,889,906.35",122553
22-Jan-21,EQ,3241.9,3325,3241.9,"3,273.85","3,292.20",3303.1,"3,300.02","3,327.95","1,506.05",3052459,"10,073,163,825.50",120993
21-Jan-21,EQ,3305,3309.15,3262.1,"3,308.80","3,274.05",3273.85,"3,281.88","3,327.95","1,506.05",2778546,"9,118,852,661.70",134629
20-Jan-21,EQ,3270,3327.95,3267.1,"3,260.70","3,305.00",3308.8,"3,304.97","3,327.95","1,506.05",3453446,"11,413,530,807.30",169490
19-Jan-21,EQ,3233,3279,3232,"3,221.75","3,265.60",3260.7,"3,256.44","3,279.00","1,506.05",2975735,"9,690,307,983.35",135064
18-Jan-21,EQ,3250,3256.75,3187.4,"3,233.35","3,215.00",3221.75,"3,230.06","3,274.00","1,506.05",4160906,"13,439,989,256.75",195067
15-Jan-21,EQ,3235,3274,3210,"3,250.70","3,229.95",3233.35,"3,240.98","3,274.00","1,506.05",4131692,"13,390,734,930.65",193972
14-Jan-21,EQ,3155,3266.5,3120.4,"3,158.95","3,244.35",3250.7,"3,207.17","3,266.50","1,506.05",6931542,"22,230,611,264.15",276953
13-Jan-21,EQ,3175,3177,3126.25,"3,174.85","3,158.00",3158.95,"3,147.46","3,230.00","1,506.05",3572801,"11,245,261,941.15",189690
12-Jan-21,EQ,3176.45,3210,3150,"3,176.45","3,172.00",3174.85,"3,187.07","3,230.00","1,506.05",3611458,"11,509,972,776.65",142696
11-Jan-21,EQ,3230,3230,3146.55,"3,120.90","3,170.45",3176.45,"3,174.16","3,230.00","1,506.05",9508039,"30,180,045,841.35",294091
8-Jan-21,EQ,3090,3128,3060,"3,032.80","3,122.75",3120.9,"3,100.97","3,128.00","1,506.05",5879039,"18,230,717,038.75",214010
7-Jan-21,EQ,3075,3080.85,3000.25,"3,051.50","3,048.65",3032.8,"3,028.74","3,114.25","1,506.05",3717827,"11,260,321,904.20",167700
6-Jan-21,EQ,3100,3113.5,3037.2,"3,093.00","3,053.00",3051.5,"3,078.56","3,114.25","1,506.05",3726716,"11,472,936,907.35",172084
5-Jan-21,EQ,3039.6,3114.25,3039.6,"3,039.45","3,090.65",3093,"3,084.07","3,114.25","1,506.05",5801309,"17,891,634,394.80",202735
4-Jan-21,EQ,2950,3050.75,2940.95,"2,928.25","3,042.70",3039.45,"2,998.15","3,050.75","1,506.05",5113293,"15,330,405,223.95",207562
1-Jan-21,EQ,2880,2940,2879,"2,862.75","2,932.00",2928.25,"2,913.52","2,952.00","1,506.05",2681440,"7,812,435,140.30",88216
31-Dec-20,EQ,2900,2905,2845,"2,909.30","2,864.95",2862.75,"2,874.36","2,952.00","1,506.05",4040956,"11,615,170,401.55",130170
30-Dec-20,EQ,2934.4,2947.7,2902,"2,930.50","2,910.00",2909.3,"2,918.00","2,952.00","1,506.05",2637968,"7,697,596,026.60",87612
29-Dec-20,EQ,2920,2952,2920,"2,929.40","2,935.00",2930.5,"2,937.59","2,952.00","1,506.05",1994151,"5,857,996,376.70",99597
28-Dec-20,EQ,2910,2949.7,2902,"2,909.35","2,932.10",2929.4,"2,929.11","2,949.70","1,506.05",2108994,"6,177,467,465.10",106481
24-Dec-20,EQ,2909,2921.35,2883.2,"2,908.75","2,908.95",2909.35,"2,902.86","2,921.35","1,506.05",1807144,"5,245,886,550.40",76405
23-Dec-20,EQ,2876.05,2919,2865.45,"2,872.50","2,907.15",2908.75,"2,904.67","2,919.00","1,506.05",2790988,"8,106,911,741.25",125341
22-Dec-20,EQ,2834,2883.65,2818.65,"2,820.15","2,870.65",2872.5,"2,848.13","2,898.00","1,506.05",2881737,"8,207,569,106.95",158517
21-Dec-20,EQ,2861,2886.5,2785,"2,861.00","2,810.00",2820.15,"2,853.21","2,898.00","1,506.05",2705195,"7,718,476,165.55",141821
18-Dec-20,EQ,2868,2898,2846.2,"2,838.20","2,851.95",2861,"2,873.74","2,898.00","1,506.05",6076692,"17,462,837,839.65",178840
17-Dec-20,EQ,2811,2853.7,2805,"2,814.20","2,848.70",2838.2,"2,823.94","2,885.00","1,506.05",2863460,"8,086,236,716.70",121983
16-Dec-20,EQ,2779,2819.8,2760.45,"2,761.55","2,810.00",2814.2,"2,792.39","2,885.00","1,506.05",2565149,"7,162,892,179.05",109504
15-Dec-20,EQ,2786,2794.7,2755,"2,797.70","2,763.95",2761.55,"2,768.65","2,885.00","1,506.05",2365509,"6,549,273,569.60",152067
14-Dec-20,EQ,2802,2804,2756.25,"2,783.60","2,796.55",2797.7,"2,787.40","2,885.00","1,506.05",2483658,"6,922,952,988.10",112781
11-Dec-20,EQ,2792.7,2807.7,2764.55,"2,784.30","2,782.00",2783.6,"2,789.22","2,885.00","1,506.05",1795408,"5,007,781,485.00",90719
10-Dec-20,EQ,2818,2827.3,2780.25,"2,810.80","2,784.80",2784.3,"2,794.17","2,885.00","1,506.05",2127801,"5,945,438,936.55",106653
9-Dec-20,EQ,2815,2840,2793.15,"2,797.30","2,812.05",2810.8,"2,817.31","2,885.00","1,506.05",3659996,"10,311,351,385.55",147222
8-Dec-20,EQ,2740,2805.55,2732.45,"2,737.70","2,795.00",2797.3,"2,771.25","2,885.00","1,506.05",4277818,"11,854,914,854.55",273215
7-Dec-20,EQ,2715,2744,2706.15,"2,727.55","2,741.00",2737.7,"2,721.02","2,885.00","1,506.05",1996400,"5,432,246,145.90",111040
4-Dec-20,EQ,2710.8,2738.85,2699,"2,709.45","2,723.00",2727.55,"2,722.95","2,885.00","1,506.05",2686527,"7,315,291,484.55",121585
3-Dec-20,EQ,2773.9,2773.9,2700.8,"2,749.55","2,710.00",2709.45,"2,728.72","2,885.00","1,506.05",2852548,"7,783,810,980.40",121400
2-Dec-20,EQ,2719,2754.7,2702.45,"2,726.80","2,745.50",2749.55,"2,727.49","2,885.00","1,506.05",2509032,"6,843,351,199.50",106756
1-Dec-20,EQ,2679,2735.9,2624.45,"2,679.65","2,729.00",2726.8,"2,695.43","2,885.00","1,506.05",3605017,"9,717,083,002.65",153842
27-Nov-20,EQ,2705,2717.7,2669.05,"2,720.60","2,678.00",2679.65,"2,684.61","2,885.00","1,506.05",6086808,"16,340,691,429.60",168842
26-Nov-20,EQ,2686,2730.95,2680,"2,701.30","2,730.00",2720.6,"2,703.16","2,885.00","1,506.05",2341099,"6,328,369,462.20",103635
25-Nov-20,EQ,2729,2732.95,2688.2,"2,722.05","2,700.00",2701.3,"2,707.81","2,885.00","1,506.05",3302249,"8,941,871,533.30",163422
