Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,416.1,423.8,408.2,417.9,423.05,421.5,415.3,467.45,159.4,15081852,"6,263,467,806.45",160816
29-Jan-21,EQ,437.4,437.7,415.55,431.9,420,417.9,425.79,467.45,159.4,15632421,"6,656,158,339.40",143912
28-Jan-21,EQ,443.25,448.6,427.3,446.45,433,431.9,434.54,467.45,159.4,14812435,"6,436,622,050.55",157793
27-Jan-21,EQ,438,454.75,437.25,437.25,446,446.45,449.19,467.45,159.4,29590210,"13,291,561,394.70",224446
25-Jan-21,EQ,445.15,451,435.15,444.75,437.9,437.25,441.91,467.45,159.4,7380169,"3,261,360,007.80",86204
22-Jan-21,EQ,447.45,452,440.45,445.8,443.5,444.75,445.22,467.45,159.4,11398812,"5,074,968,624.85",120324
21-Jan-21,EQ,451.6,453.45,442.3,444.95,447.65,445.8,448.46,467.45,159.4,15911377,"7,135,659,042.50",138856
20-Jan-21,EQ,434,447.85,433,430.25,444.9,444.95,443.71,467.45,159.4,24419679,"10,835,153,345.55",207154
19-Jan-21,EQ,433,439.55,427.7,431.55,433,430.25,432.24,467.45,159.4,15677790,"6,776,554,730.00",132337
18-Jan-21,EQ,441,445,429.1,438.55,429.1,431.55,438.58,467.45,159.4,21510587,"9,434,208,905.95",208931
15-Jan-21,EQ,454.75,459.4,436.6,454.35,437.8,438.55,447.14,467.45,159.4,25307779,"11,316,125,682.25",214897
14-Jan-21,EQ,452,466,430,459,453,454.35,450.54,467.45,159.4,71551807,"32,237,059,994.65",529191
13-Jan-21,EQ,461,467.45,452.8,457.7,459,459,460.7,467.45,159.4,29190193,"13,448,066,484.00",362087
12-Jan-21,EQ,447.95,460.75,442.4,446.8,460.7,457.7,451.3,460.75,159.4,22134465,"9,989,260,323.40",223110
11-Jan-21,EQ,436,451,435,430.2,447.05,446.8,444.84,451,159.4,47334018,"21,056,211,454.25",371366
8-Jan-21,EQ,407.5,432.65,407.25,406.75,428,430.2,423.56,432.65,159.4,40993230,"17,363,008,226.95",277996
7-Jan-21,EQ,412.25,413,403.85,406.4,407.5,406.75,406.88,417.4,159.4,12344755,"5,022,832,524.55",97582
6-Jan-21,EQ,405,417.4,403.3,406.3,405.9,406.4,410.04,417.4,159.4,22486300,"9,220,184,899.15",193337
5-Jan-21,EQ,394.1,409.8,393.5,396.4,405.5,406.3,403.28,409.8,159.4,25156747,"10,145,293,571.15",188362
4-Jan-21,EQ,390,397.95,387.8,388.1,396.7,396.4,393.91,397.95,159.4,9755721,"3,842,841,411.10",94914
1-Jan-21,EQ,385.05,390.75,385.05,386.25,387.5,388.1,388,390.75,159.4,5042336,"1,956,434,384.50",67053
31-Dec-20,EQ,381.2,387.6,381.2,384.4,386,386.25,385.2,390.5,159.4,6394605,"2,463,223,304.20",59928
30-Dec-20,EQ,385,386.6,382.8,385,384.6,384.4,384.43,390.5,159.4,7188435,"2,763,451,422.85",79271
29-Dec-20,EQ,384,390.5,383.1,382.9,384.4,385,387.04,390.5,159.4,11459126,"4,435,100,099.60",135489
28-Dec-20,EQ,383.45,386.4,382,382.2,383,382.9,384.06,387.6,159.4,4725879,"1,815,018,951.35",52825
24-Dec-20,EQ,386.45,386.7,378.65,385.55,381.8,382.2,382.71,387.6,159.4,12240172,"4,684,451,299.60",121303
23-Dec-20,EQ,374,387.6,371.7,364.2,384.95,385.55,379.89,387.6,159.4,44874433,"17,047,325,999.95",339109
22-Dec-20,EQ,354,365.7,349.45,353.95,364.35,364.2,357.14,381.7,159.4,8186039,"2,923,553,121.50",86256
21-Dec-20,EQ,362.5,367.45,348.35,363.55,352.6,353.95,360.92,381.7,159.4,9665063,"3,488,337,569.10",94354
18-Dec-20,EQ,358.95,365.8,357.5,356.9,363,363.55,362.94,381.7,159.4,17398081,"6,314,387,808.55",124882
17-Dec-20,EQ,358.4,359.25,355.5,358.4,356.45,356.9,357.27,381.7,159.4,4165371,"1,488,176,589.15",50512
16-Dec-20,EQ,353.9,358.95,353.2,352.7,358.6,358.4,356.44,381.7,159.4,6666272,"2,376,128,232.80",62089
15-Dec-20,EQ,349.3,353.9,347.5,349.35,352.7,352.7,351.95,381.7,159.4,7231781,"2,545,198,785.60",72836
14-Dec-20,EQ,353.5,354.55,347.1,353.5,349.3,349.35,349.28,381.7,159.4,11501839,"4,017,388,962.80",106951
11-Dec-20,EQ,357.4,360,352.65,355.9,353.5,353.5,355.85,381.7,159.4,5863616,"2,086,569,994.45",51263
10-Dec-20,EQ,356.2,358,352.75,359.5,356.3,355.9,355.84,381.7,159.4,6897397,"2,454,363,980.60",61672
9-Dec-20,EQ,367.75,367.75,357.5,363.7,360.35,359.5,362.22,381.7,159.4,18137688,"6,569,781,404.00",145727
8-Dec-20,EQ,360.3,365,358.4,358.45,363.5,363.7,361.67,381.7,159.4,11813301,"4,272,523,760.35",98698
7-Dec-20,EQ,362,362.75,357.5,360.8,358.7,358.45,359.01,381.7,159.4,8392383,"3,012,934,214.30",100647
4-Dec-20,EQ,361.1,362.4,359,360.3,361,360.8,360.69,381.7,159.4,7427393,"2,678,979,373.80",65761
3-Dec-20,EQ,364,364,358,358.9,360.05,360.3,360.33,381.7,159.4,10697045,"3,854,423,512.70",89612
