Date,series,OPEN,HIGH,LOW,close
1-Feb-21,EQ,919,933.75,896.35,915.3
29-Jan-21,EQ,941,949.5,909.5,914
28-Jan-21,EQ,948.8,952.4,930.1,933.95
27-Jan-21,EQ,952.1,963.25,942.5,955.5
25-Jan-21,EQ,997,997,941,947.5
22-Jan-21,EQ,991.7,1004,981.4,985.8
21-Jan-21,EQ,1009,1020,982.95,993.3
20-Jan-21,EQ,991.75,1009.65,987.55,999.25
19-Jan-21,EQ,988,997,979.35,983.85
18-Jan-21,EQ,1000,1004.95,976.9,981.5
15-Jan-21,EQ,1047.65,1052.85,984,989.8
14-Jan-21,EQ,1049,1049,1006.6,1027.7
13-Jan-21,EQ,1064,1067,1041,1055.95
12-Jan-21,EQ,1052,1065.05,1038.7,1062.1
11-Jan-21,EQ,1015,1059.05,1008,1055.1
8-Jan-21,EQ,974.9,1003.5,970,994.65
7-Jan-21,EQ,988,988.2,959.4,962.55
6-Jan-21,EQ,997.9,998,966.1,978.2
5-Jan-21,EQ,967.2,995.8,967.2,991.35
4-Jan-21,EQ,959,984.7,952.65,980.4
1-Jan-21,EQ,942,955.5,942,950.5
31-Dec-20,EQ,939.05,949.85,935,946.15
30-Dec-20,EQ,938,950,931,940.7
29-Dec-20,EQ,929,945,925.25,935.9
28-Dec-20,EQ,925,927.5,913.5,921.8
24-Dec-20,EQ,927.95,928.25,910.7,919.35
23-Dec-20,EQ,920,935,914.8,922.6
22-Dec-20,EQ,879.15,919.25,872,913.8
21-Dec-20,EQ,886.65,910.5,850,870.45
18-Dec-20,EQ,894.75,905,886.65,890.65
17-Dec-20,EQ,887,887,877,879.35
16-Dec-20,EQ,886.25,892,878.45,885.05
15-Dec-20,EQ,874.7,889,870,886
14-Dec-20,EQ,866.1,875.65,858.1,873
11-Dec-20,EQ,871,881.8,855.2,862.25
10-Dec-20,EQ,870.55,877.8,865,866.75
9-Dec-20,EQ,866.1,880,864.1,870.55
8-Dec-20,EQ,859,875.7,856,863.8
7-Dec-20,EQ,858,859.95,850.4,855.3
4-Dec-20,EQ,866,867.85,854.45,858.5
3-Dec-20,EQ,848.5,864,843.3,862.2
2-Dec-20,EQ,836.15,847.45,831.3,843.15
1-Dec-20,EQ,824,835.7,815.1,834.1
27-Nov-20,EQ,842,847.8,814.35,822.1
26-Nov-20,EQ,824.1,845,819.6,842.05
25-Nov-20,EQ,840.5,846,822.5,824.7
24-Nov-20,EQ,843.9,857.4,835.35,840.5
23-Nov-20,EQ,825,842,816.25,839.2
20-Nov-20,EQ,813.95,823.5,804,819.25
19-Nov-20,EQ,815,820.45,803,804.55
18-Nov-20,EQ,819,819.9,800.25,814.3
17-Nov-20,EQ,837.95,837.95,814,815
14-Nov-20,EQ,834,834,829,830.5
13-Nov-20,EQ,822.9,831.45,818.15,828.1
12-Nov-20,EQ,827.15,837,822,824.7
11-Nov-20,EQ,813,829,805.35,826.05
10-Nov-20,EQ,848.5,848.5,805.75,809.7
9-Nov-20,EQ,866.8,872.8,847.1,855
6-Nov-20,EQ,846,855.8,836.4,850.1
5-Nov-20,EQ,834,851.1,830.05,842.9
4-Nov-20,EQ,812.2,841.75,810.6,815.15
3-Nov-20,EQ,828,832,812.35,814.05
2-Nov-20,EQ,841.95,843.85,819.2,822.4
30-Oct-20,EQ,842.8,859.7,833,841.95
29-Oct-20,EQ,825,842.5,818.95,840.05
28-Oct-20,EQ,852,852,821.6,829.6
27-Oct-20,EQ,848.95,857.45,838.7,847.25
26-Oct-20,EQ,853,860.9,842.05,847.8
23-Oct-20,EQ,871,875.45,850.6,852.45
22-Oct-20,EQ,858.9,878,851.55,866.25
21-Oct-20,EQ,881,891.65,860,871.05
20-Oct-20,EQ,846.95,886,843.6,879.65
19-Oct-20,EQ,839.8,861.7,833,844.75
16-Oct-20,EQ,859,877,820.6,827.15
15-Oct-20,EQ,899.95,903.7,833.45,860
14-Oct-20,EQ,904,910.7,882,890.45
13-Oct-20,EQ,866.3,906.6,863.3,900.4
12-Oct-20,EQ,860.8,871.95,857.15,865.8
9-Oct-20,EQ,852.9,862.5,849.3,855.75
8-Oct-20,EQ,857.5,879,844.5,849.55
7-Oct-20,EQ,830,830.6,823,828.05
6-Oct-20,EQ,830,834.5,822.7,829.15
5-Oct-20,EQ,828.8,839.2,815.1,824.2
1-Oct-20,EQ,819.9,820.95,811.2,812.95
30-Sep-20,EQ,818,820.5,807.1,811.6
29-Sep-20,EQ,837.4,841.1,810.2,812.75
28-Sep-20,EQ,838.4,844.75,820.8,835.25
25-Sep-20,EQ,795.25,836,792.6,827.7
24-Sep-20,EQ,811,811.45,784,788.3
23-Sep-20,EQ,832,844.8,810.15,814.1
22-Sep-20,EQ,813.95,831.5,790.55,821
21-Sep-20,EQ,823,849.9,793.45,802.6
18-Sep-20,EQ,808.3,824,804,810.6
17-Sep-20,EQ,794.95,817.5,789.5,808.3
16-Sep-20,EQ,790.05,796.3,779.25,789.25
15-Sep-20,EQ,791.05,809.85,783.05,792.7
14-Sep-20,EQ,745,825.1,744.15,794.95
11-Sep-20,EQ,712,734,710.15,721.65
10-Sep-20,EQ,728.65,728.95,713.8,722.4
9-Sep-20,EQ,712.1,730.9,710.2,721.95
8-Sep-20,EQ,708.8,738.9,703.2,725.9
7-Sep-20,EQ,696.35,712.4,689.05,708.8
4-Sep-20,EQ,695.15,704.5,692.05,700.8
3-Sep-20,EQ,704.8,716.4,697.6,706.75
2-Sep-20,EQ,689.9,704.8,689.1,701.95
1-Sep-20,EQ,695,704,682.4,689.6
31-Aug-20,EQ,705,725,686,694.4
28-Aug-20,EQ,713.7,716.65,703.2,706.45
27-Aug-20,EQ,713.55,720,706.5,710.15
26-Aug-20,EQ,704.7,717.75,697,712.8
25-Aug-20,EQ,705,711.55,694.7,701.6
24-Aug-20,EQ,706.05,708.45,695.6,705.7
21-Aug-20,EQ,715,715,702.7,705.9
20-Aug-20,EQ,708.5,715.85,706.05,710.1
19-Aug-20,EQ,713.8,714.2,705,709.85
18-Aug-20,EQ,718.95,721.7,712.4,714.45
17-Aug-20,EQ,711.1,720.8,709.25,718.85
14-Aug-20,EQ,727.9,727.9,707.25,709.1
13-Aug-20,EQ,717,729,713.05,724.6
12-Aug-20,EQ,680.6,719,677.05,717.1
11-Aug-20,EQ,694,700.95,681.5,683.8
10-Aug-20,EQ,694.95,694.95,685.1,692.05
7-Aug-20,EQ,699.9,699.9,685,690.3
6-Aug-20,EQ,692,707.6,686.4,704.9
5-Aug-20,EQ,692.65,702.4,681,688.4
4-Aug-20,EQ,709.5,711,687.05,692.65
3-Aug-20,EQ,709.1,718,700.55,705.95
31-Jul-20,EQ,701.85,716.7,696,705.2
30-Jul-20,EQ,698,712.55,692.65,695.45
29-Jul-20,EQ,710,710.75,692.5,694.4
28-Jul-20,EQ,702,716.05,695.7,712.45
27-Jul-20,EQ,684,704.4,676.5,701.1
24-Jul-20,EQ,641,684.8,640.9,679.95
23-Jul-20,EQ,650,656.95,643.55,652.85
22-Jul-20,EQ,657,658,643.1,650.15
21-Jul-20,EQ,652,662.35,643.3,652.35
20-Jul-20,EQ,633,652,626.85,648.6
17-Jul-20,EQ,629.5,644.65,613.4,623.15
16-Jul-20,EQ,630,652.2,607.15,627.75
15-Jul-20,EQ,593.65,627.95,592.5,615.2
14-Jul-20,EQ,604.6,613.75,588.1,591.35
13-Jul-20,EQ,585,605,583.35,602.6
10-Jul-20,EQ,588.25,588.55,579.85,582.25
9-Jul-20,EQ,575.65,591.6,575,588.25
8-Jul-20,EQ,594.75,594.75,573,574.9
7-Jul-20,EQ,582,594.45,575.15,592.05
6-Jul-20,EQ,579.15,589,577.25,578.7
3-Jul-20,EQ,572,580.55,570.6,579.15
2-Jul-20,EQ,555,572.4,552.9,569.2
1-Jul-20,EQ,557.95,559.6,551,551.75
30-Jun-20,EQ,558,560.8,553.25,556.85
29-Jun-20,EQ,562,565.9,550.3,553.7
26-Jun-20,EQ,550.05,573.9,545,562.4
25-Jun-20,EQ,557.6,560.7,548,550.05
24-Jun-20,EQ,575,579.8,554.4,559.6
23-Jun-20,EQ,569.7,583.5,563.75,580.25
22-Jun-20,EQ,575,576.65,565.4,569.6
19-Jun-20,EQ,574,578,567.2,569.6
18-Jun-20,EQ,571.2,583.8,570.1,578.95
17-Jun-20,EQ,580,581.85,573,575.85
16-Jun-20,EQ,585,593.5,578.4,580.9
15-Jun-20,EQ,574.8,581,563.7,578.95
12-Jun-20,EQ,555.2,578.7,555.2,570.75
11-Jun-20,EQ,580,584.9,574.1,578.05
10-Jun-20,EQ,575,587.5,573.6,578.7
9-Jun-20,EQ,574.15,583.6,570,572.85
8-Jun-20,EQ,579.15,583.5,571.05,578.25
5-Jun-20,EQ,585,587.15,572.5,575.95
4-Jun-20,EQ,565,583.7,559,578.95
3-Jun-20,EQ,564,568.4,557,562.8
2-Jun-20,EQ,559.3,567.75,550,560.2
1-Jun-20,EQ,557,573.4,555.5,559.75
29-May-20,EQ,540,555,536.7,550.25
28-May-20,EQ,531,546,523,542.65
27-May-20,EQ,529.7,533.9,516,530.95
26-May-20,EQ,530,536.5,520.25,524
22-May-20,EQ,533.65,535,523,530.4
21-May-20,EQ,529.8,537.5,523.4,534.85
20-May-20,EQ,515.05,528.65,515,526.75
19-May-20,EQ,512,520.5,506.2,518.25
18-May-20,EQ,514.7,518.65,507.5,510.75
15-May-20,EQ,517.95,517.95,505.25,511.25
14-May-20,EQ,519.4,527.55,514.35,517.45
13-May-20,EQ,539.85,539.85,521.55,528.75
12-May-20,EQ,525.45,540,520,527.4
11-May-20,EQ,526,534.9,521.2,527.55
8-May-20,EQ,520.85,522.5,502.4,518.4
7-May-20,EQ,530,541.8,507.55,511.75
6-May-20,EQ,512.2,526.7,506.2,519.1
5-May-20,EQ,526,529.9,515.65,520.4
4-May-20,EQ,527.5,527.5,508.2,514.25
30-Apr-20,EQ,506.5,565.5,501,543.55
29-Apr-20,EQ,474.8,501,470.2,491.75
28-Apr-20,EQ,489,489,469.45,471.1
27-Apr-20,EQ,473.1,485.7,467.25,483.1
24-Apr-20,EQ,480,496.9,465.15,468.1
23-Apr-20,EQ,465,480.75,462.4,477.7
22-Apr-20,EQ,453,469.45,450,462.4
21-Apr-20,EQ,458,464.95,447.85,455.7
20-Apr-20,EQ,458,473.6,453.5,470
17-Apr-20,EQ,470,475,453.65,455.25
16-Apr-20,EQ,473,476,456.7,459.75
15-Apr-20,EQ,470,482,462.7,478.75
13-Apr-20,EQ,470,471,454,458.25
9-Apr-20,EQ,480.7,481,462,469.05
8-Apr-20,EQ,451,476.8,449,463.1
7-Apr-20,EQ,425,457.95,425,451.15
3-Apr-20,EQ,418.9,428.6,399.3,405.8
1-Apr-20,EQ,433,433.2,408.2,413.55
31-Mar-20,EQ,433.2,449.4,425.3,436.4
30-Mar-20,EQ,410,438.65,410,419
27-Mar-20,EQ,450.25,457.45,420.5,430.65
26-Mar-20,EQ,461.1,466.75,441.1,447.7
25-Mar-20,EQ,432,468,417.75,457.6
24-Mar-20,EQ,413,458.85,411.85,442.05
23-Mar-20,EQ,415,444,400.45,417.15
20-Mar-20,EQ,413.5,461.95,411.85,444.9
19-Mar-20,EQ,418.9,434.6,375.25,413.45
18-Mar-20,EQ,455,464.8,429.05,434.25
17-Mar-20,EQ,450,478.6,443.35,450.65
16-Mar-20,EQ,469,479.8,446.85,450.7
13-Mar-20,EQ,460,517.25,395.95,492.9
12-Mar-20,EQ,521,527.8,486.35,493.35
11-Mar-20,EQ,526.75,542.65,514,536.8
9-Mar-20,EQ,555,558,536.45,540.45
6-Mar-20,EQ,570,573.95,559.55,566.2
5-Mar-20,EQ,568,581.9,563.15,576.4
4-Mar-20,EQ,569,575.4,561,563.1
3-Mar-20,EQ,556,568.75,555,565.05
2-Mar-20,EQ,541.05,565.85,537.85,549.7
28-Feb-20,EQ,560,564,531.2,534.35
27-Feb-20,EQ,582.1,582.4,568,573.05
26-Feb-20,EQ,576.9,589.05,575.5,583.6
25-Feb-20,EQ,595.5,595.7,575,582.45
24-Feb-20,EQ,608,609,591.5,595.15
20-Feb-20,EQ,611,612.95,605.15,608.05
19-Feb-20,EQ,614.45,618.25,604,605.75
18-Feb-20,EQ,613.45,615.8,605.15,607.05
17-Feb-20,EQ,623,623.5,612.35,613.45
14-Feb-20,EQ,612.45,623.25,612.25,621.65
13-Feb-20,EQ,612,613.95,604.05,612.45
12-Feb-20,EQ,613,620.5,610.3,614.1
11-Feb-20,EQ,606,613.75,605.7,610.65
10-Feb-20,EQ,608.9,611.55,601.65,604.9
7-Feb-20,EQ,601.65,609.2,599.15,607.7
6-Feb-20,EQ,598.95,613,598,599.7
5-Feb-20,EQ,589.4,598.5,586,595.6
4-Feb-20,EQ,583,589.25,582.5,586.5
3-Feb-20,EQ,591.4,593.65,577.5,579.1
1-Feb-20,EQ,591.4,597.7,580.75,590.9
