Date,series,OPEN,HIGH,LOW,PREV.CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,Nooftrades,close_infosys,values,company,close_TCS,close_wipro ,close_Mindtree 
1-Feb-21,EQ,919,933.75,896.35,914,932.1928.35,915.3,"1,067.00",375.25,8651478,"7,918,681,533.35",208551,1260.9,1239.05,694.687,HCL,"3,139.35",421.5,"1690.00"
29-Jan-21,EQ,941,949.5,909.5,933.95,914.5,914,927.73,"1,067.00",375.25,7692663,"7,136,714,192.85",160581,1276.2,1009.275,INFOSYS,"3,111.35",417.9,"1,645.15"
28-Jan-21,EQ,948.8,952.4,930.1,955.5,932,933.95,941.03,"1,067.00",375.25,6960905,"6,550,446,434.55",191909,1301,"2652.10",TCS,"3,196.55",431.9,"1,665.25"
27-Jan-21,EQ,952.1,963.25,942.5,947.5,957.4,955.5,955.55,"1,067.00",375.25,7531736,"7,196,966,517.55",247705,1325,1329.15,WIPRO,"3,261.05",446.45,"1,702.75"
25-Jan-21,EQ,997,997,941,985.8,948,947.5,966.54,"1,067.00",375.25,7731883,"7,473,144,666.95",325690,1340.85,"1286.58",MINDTREE,"3,291.30",437.25,"1,740.80"
22-Jan-21,EQ,991.7,"1,004.00",981.4,993.3,985.95,985.8,990,"1,067.00",375.25,5379466,"5,325,689,212.60",182218,1339.7,,,"3,303.10",444.75,"1,791.30"
21-Jan-21,EQ,"1,009.00","1,020.00",982.95,999.25,991.5,993.3,"1,003.92","1,067.00",375.25,8857975,"8,892,726,373.60",185089,1339.45,,,"3,273.85",445.8,"1,759.00"
20-Jan-21,EQ,991.75,"1,009.65",987.55,983.85,997.5,999.25,"1,001.18","1,067.00",375.25,7444118,"7,452,887,783.00",153672,1316.65,,,"3,308.80",444.95,"1,782.85"
19-Jan-21,EQ,988,997,979.35,981.5,987,983.85,985.98,"1,067.00",375.25,6387923,"6,298,346,813.15",168528,1312.05,,,"3,260.70",430.25,"1,681.90"
18-Jan-21,EQ,"1,000.00","1,004.95",976.9,989.8,978.1,981.5,990.09,"1,067.00",375.25,12947569,"12,819,240,554.90",256612,1344.95,,,"3,221.75",431.55,"1,663.55"
15-Jan-21,EQ,"1,047.65","1,052.85",984,1027.7,989,989.8,"1,009.81","1,067.00",375.25,23769415,"24,002,697,489.25",463474,1370.5,,,"3,233.35",438.55,"1,696.60"
14-Jan-21,EQ,"1,049.00","1,049.00","1,006.60","1,055.95","1,031.00",1027.7,"1,026.49","1,067.00",375.25,15021108,"15,419,088,647.25",349280,1387.15,,,"3,250.70",454.35,"1,743.75"
13-Jan-21,EQ,"1,064.00","1,067.00","1,041.00","1,062.10","1,057.00",1055.95,"1,054.37","1,067.00",375.25,6691409,"7,055,244,429.80",139957,1371.75,,,"3,158.95",459,"1,745.25"
12-Jan-21,EQ,"1,052.00","1,065.05","1,038.70","1,055.10","1,064.00",1062.1,"1,049.24","1,065.05",375.25,6700542,"7,030,502,202.05",183794,1376.2,,,"3,174.85",457.7,"1,750.85"
11-Jan-21,EQ,"1,015.00","1,059.05","1,008.00",994.65,"1,053.25",1055.1,"1,033.95","1,059.05",375.25,13384331,"13,838,751,594.30",259727,1312.1,,,"3,176.45",446.8,"1,762.40"
8-Jan-21,EQ,974.9,"1,003.50",970,962.55,994.15,994.65,986.68,"1,003.50",375.25,8034775,"7,927,736,978.75",112810,1262.15,,,"3,120.90",430.2,"1,740.15"
7-Jan-21,EQ,988,988.2,959.4,978.2,963.9,962.55,969.71,998,375.25,5261000,"5,101,642,454.65",104038,1282.1,,,"3,032.80",406.75,"1,682.10"
6-Jan-21,EQ,997.9,998,966.1,991.35,976,978.2,984.98,998,375.25,5995748,"5,905,668,068.15",142578,1293.8,,,"3,051.50",406.4,"1,694.85"
5-Jan-21,EQ,967.2,995.8,967.2,980.4,992.5,991.35,985.02,995.8,375.25,7150252,"7,043,170,176.50",121058,1288.25,,,"3,093.00",406.3,"1,713.80"
4-Jan-21,EQ,959,984.7,952.65,950.5,978.3,980.4,968.71,984.7,375.25,5259092,"5,094,523,210.90",96212,1260.45,,,"3,039.45",396.4,"1,689.20"
1-Jan-21,EQ,942,955.5,942,946.15,950.25,950.5,950.65,955.5,375.25,3142822,"2,987,712,518.10",52922,1255.8,,,"2,928.25",388.1,"1,659.25"
31-Dec-20,EQ,939.05,949.85,935,940.7,946.4,946.15,942.19,950,375.25,3468390,"3,267,889,419.30",63219,1246.8,,,"2,862.75",386.25,"1,660.35"
30-Dec-20,EQ,938,950,931,935.9,941.15,940.7,940.88,950,375.25,6382809,"6,005,437,042.05",129019,1250.3,,,"2,909.30",384.4,"1,629.95"
29-Dec-20,EQ,929,945,925.25,921.8,936,935.9,936.61,945,375.25,6760167,"6,331,637,870.85",121535,1240.3,,,"2,930.50",385,"1,621.75"
28-Dec-20,EQ,925,927.5,913.5,919.35,922.7,921.8,921.16,935,375.25,3884750,"3,578,479,998.20",88769,1236.05,,,"2,929.40",382.9,"1,608.80"
24-Dec-20,EQ,927.95,928.25,910.7,922.6,917,919.35,919.19,935,375.25,4390561,"4,035,768,678.40",85401,1253.05,,,"2,909.35",382.2,"1,597.70"
23-Dec-20,EQ,920,935,914.8,913.8,921.9,922.6,925.27,935,375.25,10723068,"9,921,735,580.65",176400,1220.5,,,"2,908.75",385.55,"1,596.10"
22-Dec-20,EQ,879.15,919.25,872,870.45,917,913.8,892.93,919.25,375.25,10251896,"9,154,186,077.65",196248,1177.3,,,"2,872.50",364.2,"1,525.05"
21-Dec-20,EQ,886.65,910.5,850,890.65,872,870.45,892.43,910.7,375.25,8875855,"7,921,082,596.25",201257,1189.8,,,"2,820.15",353.95,"1,427.15"
18-Dec-20,EQ,894.75,905,886.65,879.35,890.35,890.65,897.36,910.7,375.25,11568187,"10,380,782,845.00",196000,1159.2,,,"2,861.00",363.55,"1,476.10"
17-Dec-20,EQ,887,887,877,885.05,878,879.35,882.14,910.7,375.25,4863371,"4,290,169,955.00",133920,1165.7,,,"2,838.20",356.9,"1,452.10"
16-Dec-20,EQ,886.25,892,878.45,886,882,885.05,883.95,910.7,375.25,4378179,"3,870,092,023.85",105667,1154.6,,,"2,814.20",358.4,"1,459.50"
15-Dec-20,EQ,874.7,889,870,873,885.1,886,883.14,910.7,375.25,7527270,"6,647,642,107.80",144698,1164.55,,,"2,761.55",352.7,"1,468.35"
14-Dec-20,EQ,866.1,875.65,858.1,862.25,873.7,873,866.62,910.7,375.25,5143894,"4,457,809,158.10",114180,1163.2,,,"2,797.70",349.35,"1,437.05"
11-Dec-20,EQ,871,881.8,855.2,866.75,865.15,862.25,867.59,910.7,375.25,5637035,"4,890,608,092.65",123619,1167.75,,,"2,783.60",353.5,"1,436.75"
10-Dec-20,EQ,870.55,877.8,865,870.55,869.5,866.75,869.9,910.7,375.25,4641898,"4,037,996,033.80",98691,1175.2,,,"2,784.30",355.9,"1,437.25"
9-Dec-20,EQ,866.1,880,864.1,863.8,871.35,870.55,874.48,910.7,375.25,5952003,"5,204,889,086.50",122920,1153.35,,,"2,810.80",359.5,"1,456.00"
8-Dec-20,EQ,859,875.7,856,855.3,863.2,863.8,865.6,910.7,375.25,8722526,"7,550,238,411.20",190746,1143.5,,,"2,797.30",363.7,"1,452.30"
7-Dec-20,EQ,858,859.95,850.4,858.5,855,855.3,854.22,910.7,375.25,5314265,"4,539,560,113.05",83690,1134.65,,,"2,737.70",358.45,"1,442.70"
4-Dec-20,EQ,866,867.85,854.45,862.2,858,858.5,860.55,"1,139.00",375.25,5577388,"4,799,641,241.40",147987,1126.45,,,"2,727.55",360.8,"1,437.95"
3-Dec-20,EQ,848.5,864,843.3,843.15,862.05,862.2,857.58,"1,139.00",375.25,9633229,"8,261,241,361.20",149310,1140.9,,,"2,709.45",360.3,"1,441.70"
2-Dec-20,EQ,836.15,847.45,831.3,834.1,844,843.15,839.26,"1,139.00",375.25,7062229,"5,927,067,927.40",174376,1137.85,,,"2,749.55",358.9,"1,414.30"
1-Dec-20,EQ,824,835.7,815.1,822.1,835,834.1,825.89,1139,375.25,8078785,"6,672,227,499.75",170411,1100,,,"2,726.80",352.85,"1,411.60"
27-Nov-20,EQ,842,847.8,814.35,842.05,823.15,822.1,827.29,"1,143.40",375.25,11723771,"9,698,926,529.75",154427,1113.2,,,"2,679.65",350.5,"1,417.30"
26-Nov-20,EQ,824.1,845,819.6,824.7,841.2,842.05,834.43,"1,143.40",375.25,8414555,"7,021,383,073.75",138751,1115.65,,,"2,720.60",354.85,"1,391.60"
25-Nov-20,EQ,840.5,846,822.5,840.5,825,824.7,829.08,"1,143.40",375.25,5610232,"4,651,324,787.35",124023,1140.05,,,"2,701.30",350,"1,376.10"
24-Nov-20,EQ,843.9,857.4,835.35,839.2,841,840.5,847.95,"1,143.40",375.25,8465615,"7,178,405,737.30",169850,1139.85,,,"2,722.05",355.5,"1,412.15"
23-Nov-20,EQ,825,842,816.25,819.25,838.5,839.2,832.35,"1,143.40",375.25,7116516,"5,923,458,911.95",139507,1103.35,,,"2,724.25",355.85,"1,395.85"
20-Nov-20,EQ,813.95,823.5,804,804.55,820,819.25,816.68,"1,149.70",375.25,7455575,"6,088,810,391.30",123101,1096.75,,,"2,660.25",346.3,"1,357.45"
19-Nov-20,EQ,815,820.45,803,814.3,804.6,804.55,811.27,"1,149.70",375.25,7170339,"5,817,114,544.55",121823,1110.55,,,"2,636.90",342.6,"1,319.30"
18-Nov-20,EQ,819,819.9,800.25,815,814,814.3,808.06,"1,149.70",375.25,5816221,"4,699,836,405.30",132705,1123.7,,,"2,626.65",345.3,"1,334.30"
17-Nov-20,EQ,837.95,837.95,814,830.5,816.2,815,818.56,"1,149.70",375.25,5977903,"4,893,292,336.45",121111,1133.45,,,"2,666.05",348.7,"1,342.10"
14-Nov-20,EQ,834,834,829,828.1,830.5,830.5,831.16,"1,159.80",375.25,475390,"395,126,484.60",16338,1124.2,,,"2,670.35",345.45,"1,346.05"
13-Nov-20,EQ,822.9,831.45,818.15,824.7,827.85,828.1,826.38,"1,159.80",375.25,3918289,"3,238,010,484.85",67486,1117.75,,,"2,656.85",344.15,"1,347.60"
12-Nov-20,EQ,827.15,837,822,826.05,824.8,824.7,827.32,"1,159.80",375.25,4699639,"3,888,103,545.35",143412,1122.5,,,"2,671.05",345.55,"1,342.10"
11-Nov-20,EQ,813,829,805.35,809.7,827,826.05,816.15,"1,159.80",375.25,9779484,"7,981,504,358.40",209931,1091.05,,,"2,687.80",346.75,"1,329.65"
10-Nov-20,EQ,848.5,848.5,805.75,855,812.15,809.7,819.11,"1,159.80",375.25,10397497,"8,516,693,853.30",230164,1136.55,,,"2,649.60",342.3,"1,312.00"
9-Nov-20,EQ,866.8,872.8,847.1,850.1,858.95,855,856.87,"1,159.80",375.25,7505062,"6,430,873,335.15",141970,1112.75,,,"2,726.60",351.95,"1,370.60"
6-Nov-20,EQ,846,855.8,836.4,842.9,854.8,850.1,843.11,"1,166.30",375.25,5871913,"4,950,663,909.40",113621,1104,,,"2,707.45",345.75,"1,356.70"
5-Nov-20,EQ,834,851.1,830.05,815.15,845,842.9,841.02,"1,166.30",375.25,8903859,"7,488,298,537.70",156095,1093.95,,,"2,685.70",345.4,"1,357.90"
4-Nov-20,EQ,812.2,841.75,810.6,814.05,817.95,815.15,824.78,"1,166.30",375.25,10077502,"8,311,730,455.30",206966,1062.55,,,"2,653.15",342.95,"1,335.25"
3-Nov-20,EQ,828,832,812.35,822.4,813.5,814.05,821.95,"1,166.30",375.25,7011687,"5,763,248,341.75",140829,1072.3,,,"2,633.60",335.65,"1,317.80"
2-Nov-20,EQ,841.95,843.85,819.2,841.95,822.15,822.4,825.74,"1,166.30",375.25,5953172,"4,915,797,446.60",111715,1060.6,,,"2,604.60",334.8,"1,317.85"
30-Oct-20,EQ,842.8,859.7,833,840.05,844.75,841.95,846.09,"1,170.00",375.25,8727295,"7,384,043,618.60",134890,1074.85,,,"2,664.85",340.7,"1,327.60"
29-Oct-20,EQ,825,842.5,818.95,829.6,836.4,840.05,833.08,"1,170.00",375.25,6691023,"5,574,154,054.95",116800,1076.55,,,"2,632.65",337.45,"1,318.65"
28-Oct-20,EQ,852,852,821.6,847.25,829.9,829.6,833.36,"1,170.00",375.25,6853043,"5,711,054,678.00",139980,1090.85,,,"2,622.20",335.65,"1,327.25"
27-Oct-20,EQ,848.95,857.45,838.7,847.8,850,847.25,846.32,"1,170.00",375.25,5807905,"4,915,324,316.85",109755,1112.45,,,"2,630.15",334.05,"1,381.45"
26-Oct-20,EQ,853,860.9,842.05,852.45,847.45,847.8,852.83,"1,170.00",375.25,6614014,"5,640,636,211.15",120624,1122.5,,,"2,688.20",339.8,"1,391.95"
23-Oct-20,EQ,871,875.45,850.6,866.25,852.5,852.45,860.3,"1,170.00",375.25,5447502,"4,686,496,350.10",115601,1129.05,,,"2,686.80",342.4,"1,393.30"
22-Oct-20,EQ,858.9,878,851.55,871.05,866,866.25,866.76,"1,170.00",375.25,9607800,"8,327,620,040.70",168926,1148.35,,,"2,671.15",344.45,"1,388.35"
21-Oct-20,EQ,881,891.65,860,879.65,866,871.05,874.89,"1,170.00",375.25,11162084,"9,765,638,802.00",155501,1137.5,,,"2,675.40",343.45,"1,354.05"
20-Oct-20,EQ,846.95,886,843.6,844.75,881,879.65,875.71,"1,170.00",375.25,21564064,"18,883,832,254.25",291297,1125.9,,,"2,739.00",346.75,"1,426.35"
19-Oct-20,EQ,839.8,861.7,833,827.15,846.95,844.75,848.3,"1,170.00",375.25,15671737,"13,294,274,079.85",258268,1127.5,,,"2,711.55",343.2,"1,341.75"
16-Oct-20,EQ,859,877,820.6,860,830.05,827.15,836.13,"1,170.00",375.25,28983265,"24,233,758,849.90",413675,1108.25,,,"2,763.30",339.65,"1,329.15"
15-Oct-20,EQ,899.95,903.7,833.45,890.45,863.45,860,864,"1,170.00",375.25,15648849,"13,520,650,712.00",233161,1137,,,"2,740.60",341.6,"1,424.85"
14-Oct-20,EQ,904,910.7,882,900.4,887,890.45,893.4,"1,170.00",375.25,15441223,"13,795,233,299.15",191846,1157.8,,,"2,809.60",350.45,"1,551.90"
13-Oct-20,EQ,866.3,906.6,863.3,865.8,900.9,900.4,892.77,"1,170.00",375.25,18948688,"16,916,814,839.50",230425,1132.1,,,"2,826.55",375.95,"1,585.20"
12-Oct-20,EQ,860.8,871.95,857.15,855.75,866.2,865.8,864.97,"1,170.00",375.25,8717565,"7,540,451,283.15",117629,1106.8,,,"2,830.00",377.5,"1,562.35"
9-Oct-20,EQ,852.9,862.5,849.3,849.55,857,855.75,856.14,"1,170.00",375.25,7286954,"6,238,655,498.20",116290,1093.7,,,"2,812.95",374,"1,504.25"
8-Oct-20,EQ,857.5,879,844.5,828.05,849.5,849.55,862.06,"1,170.00",375.25,25860578,"22,293,263,288.10",347607,1066.55,,,"2,825.70",359.45,"1,461.15"
7-Oct-20,EQ,830,830.6,823,829.15,829.9,828.05,826.72,"1,170.00",375.25,6980002,"5,770,534,151.20",118532,1055.75,,,"2,735.95",335.3,"1,388.20"
6-Oct-20,EQ,830,834.5,822.7,824.2,828,829.15,828.17,"1,170.00",375.25,7848520,"6,499,912,047.05",121003,1048.7,,,"2,714.30",330.05,"1,371.95"
5-Oct-20,EQ,828.8,839.2,815.1,812.95,823.3,824.2,826.77,"1,170.00",375.25,11890211,"9,830,483,480.50",174768,1017.65,,,"2,705.80",333.95,"1,349.45"
1-Oct-20,EQ,819.9,820.95,811.2,811.6,813.7,812.95,815.73,"1,170.00",375.25,4321350,"3,525,035,142.45",85705,1008.25,,,"2,523.45",313.05,"1,336.30"
30-Sep-20,EQ,818,820.5,807.1,812.75,810,811.6,812.95,"1,170.00",375.25,9470277,"7,698,857,123.65",173273,1009,,,"2,492.30",313.55,"1,338.50"
29-Sep-20,EQ,837.4,841.1,810.2,835.25,815.35,812.75,825.53,"1,170.00",375.25,10554255,"8,712,807,901.35",173071,1010.4,,,"2,488.40",311.5,"1,323.50"
28-Sep-20,EQ,838.4,844.75,820.8,827.7,834,835.25,835.22,"1,170.00",375.25,11146342,"9,309,666,828.50",180648,1011.45,,,"2,426.30",311.55,"1,285.75"
25-Sep-20,EQ,795.25,836,792.6,788.3,830.1,827.7,821.94,"1,170.00",375.25,19813372,"16,285,368,271.70",337042,975.4,,,"2,422.30",313.9,"1,268.90"
24-Sep-20,EQ,811,811.45,784,814.1,788,788.3,797.32,"1,170.00",375.25,10553632,"8,414,580,211.60",165353,1019.75,,,"2,332.25",304.7,"1,248.15"
23-Sep-20,EQ,832,844.8,810.15,821,815,814.1,827.51,"1,170.00",375.25,18070371,"14,953,462,393.55",280008,1007.5,,,"2,467.45",314.85,"1,297.85"
22-Sep-20,EQ,813.95,831.5,790.55,802.6,825.8,821,815.42,"1,170.00",375.25,21882919,"17,843,764,685.35",399486,1009.9,,,"2,522.95",312.25,"1,307.70"
21-Sep-20,EQ,823,849.9,793.45,810.6,801.15,802.6,830.79,"1,170.00",375.25,24911675,"20,696,285,172.90",403669,1002.15,,,"2,465.30",311.9,"1,271.20"
18-Sep-20,EQ,808.3,824,804,808.3,810,810.6,814.69,"1,170.00",375.25,8847758,"7,208,201,598.45",134982,1011,,,"2,449.90",316.5,"1,272.50"
