Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,values,company
1-Feb-21,EQ,560.65,586.95,552.85,560.7,576.95,577.2,566.79,589.75,240.1,6530121,"3,701,186,327.55",76984,520.575,TVS_MOTOR
29-Jan-21,EQ,552.5,589.75,552.1,529.1,557.1,560.7,577.15,589.75,240.1,33901681,"19,566,319,691.20",388250,"7106.23",MARUTHY
28-Jan-21,EQ,523.9,534.65,521.1,531.5,531,529.1,528.93,555.55,240.1,3502868,"1,852,772,120.40",40453,222.6,TATAMOTORS
27-Jan-21,EQ,543,555.55,526.8,542.75,530.9,531.5,544.28,555.55,240.1,9576082,"5,212,046,581.45",122424,"3143.30",BAJAJ
25-Jan-21,EQ,532.95,548.05,519.35,521.95,540,542.75,536.96,548.05,240.1,9581971,"5,145,178,088.45",115618,670.175,M&M
22-Jan-21,EQ,514,535,512.05,509.6,522.55,521.95,525.63,535,240.1,9749796,"5,124,815,091.40",127059,,
21-Jan-21,EQ,513.95,517.95,504.8,509.35,512.6,509.6,513.59,533.85,240.1,1652594,"848,762,118.50",20942,,
20-Jan-21,EQ,515.45,521.9,507,512.8,509,509.35,514.27,533.85,240.1,3038458,"1,562,592,873.80",32686,,
19-Jan-21,EQ,502,515,500,499.7,511.35,512.8,508.99,533.85,240.1,2052245,"1,044,580,451.05",26386,,
18-Jan-21,EQ,506.8,506.8,488.6,507.3,498,499.7,496.68,533.85,240.1,2431492,"1,207,666,485.85",50175,,
15-Jan-21,EQ,512.9,515.25,498.3,513,508.15,507.3,506.57,533.85,240.1,1219504,"617,767,728.00",18666,,
14-Jan-21,EQ,515,519.35,504,511.35,511.4,513,510.64,533.85,240.1,1989436,"1,015,893,112.35",26603,,
13-Jan-21,EQ,518,526.55,507,518.75,510.6,511.35,518,533.85,240.1,2964843,"1,535,801,912.50",39888,,
12-Jan-21,EQ,520.95,533.85,516.5,521.65,517.2,518.75,525.58,533.85,240.1,4967838,"2,610,984,704.80",69385,,
11-Jan-21,EQ,513.9,527.4,508,513.35,521.85,521.65,519.7,527.4,240.1,4116819,"2,139,524,663.75",52881,,
