Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,7265.2,7475,7152,7206.65,"7,430.00",7399.8,"7,315.28","8,329.00","4,001.10",1611478,"11,788,410,804.05",179773
29-Jan-21,EQ,7685,7685,7170,7588.5,"7,222.00",7206.65,"7,377.31","8,329.00","4,001.10",3069968,"22,648,090,785.35",281099
28-Jan-21,EQ,7840,7984.55,7562,7870.9,"7,600.00",7588.5,"7,765.46","8,329.00","4,001.10",2085637,"16,195,927,096.60",193839
27-Jan-21,EQ,7992.95,8090,7820.5,7981.5,"7,861.45",7870.9,"7,972.54","8,329.00","4,001.10",1080785,"8,616,597,069.65",116041
25-Jan-21,EQ,8117,8164.7,7950.1,8048.85,"8,009.10",7981.5,"8,070.49","8,329.00","4,001.10",753043,"6,077,426,597.30",71327
22-Jan-21,EQ,8085,8308,8000,8076.75,"8,024.00",8048.85,"8,163.61","8,329.00","4,001.10",1172914,"9,575,212,952.35",106358
21-Jan-21,EQ,8205,8267,8021.45,8144.95,"8,089.00",8076.75,"8,194.49","8,329.00","4,001.10",769494,"6,305,613,188.40",84321
20-Jan-21,EQ,7882,8170,7860.25,7922.6,"8,125.00",8144.95,"8,057.51","8,329.00","4,001.10",999226,"8,051,274,046.10",88074
19-Jan-21,EQ,7900,7990.3,7835,7830.65,"7,905.00",7922.6,"7,920.93","8,329.00","4,001.10",779892,"6,177,473,124.60",71087
18-Jan-21,EQ,8011,8023.95,7745,8024.75,"7,768.40",7830.65,"7,846.21","8,329.00","4,001.10",771183,"6,050,863,814.10",83183
15-Jan-21,EQ,8157.15,8219.5,8000.05,8149.45,"8,011.00",8024.75,"8,083.19","8,329.00","4,001.10",751177,"6,071,903,149.30",66900
14-Jan-21,EQ,8164.8,8180,8023.45,8139.85,"8,154.00",8149.45,"8,119.67","8,329.00","4,001.10",718274,"5,832,147,158.25",75675
13-Jan-21,EQ,8188,8250,8111,8188.05,"8,132.00",8139.85,"8,179.95","8,329.00","4,001.10",877225,"7,175,659,474.25",75670
12-Jan-21,EQ,8161,8329,8140,8232.75,"8,160.00",8188.05,"8,225.92","8,329.00","4,001.10",1514072,"12,454,631,354.70",121926
11-Jan-21,EQ,8099,8288,7882.4,8014.9,"8,230.00",8232.75,"8,134.13","8,288.00","4,001.10",2182019,"17,748,815,820.20",173268
8-Jan-21,EQ,7600,8060,7600,7566.05,"8,003.90",8014.9,"7,900.46","8,060.00","4,001.10",2557157,"20,202,726,188.90",206469
7-Jan-21,EQ,7676,7704.4,7552.1,7628.6,"7,576.85",7566.05,"7,620.30","8,013.15","4,001.10",642968,"4,899,611,001.50",65629
6-Jan-21,EQ,7654,7749,7555.5,7655.45,"7,625.25",7628.6,"7,670.88","8,013.15","4,001.10",840678,"6,448,736,327.00",66618
5-Jan-21,EQ,7660,7673,7586,7702.3,"7,657.20",7655.45,"7,635.41","8,013.15","4,001.10",562668,"4,296,203,492.30",57426
4-Jan-21,EQ,7739,7755.2,7642.6,7691.3,"7,691.05",7702.3,"7,697.13","8,013.15","4,001.10",598645,"4,607,846,932.35",55195
