Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,values,company
1-Feb-21,EQ,596,599.4,579.6,586.2,593,590.15,589.43,628,312,12621971,"7,439,716,431.85",219511,506.475,SUNPHARMA
29-Jan-21,EQ,568,600,554.1,564.35,588.4,586.2,579.58,628,312,22539938,"13,063,740,256.00",307151,"3775.60",DR.REDDY
28-Jan-21,EQ,554.9,574.5,550.4,569.8,563.45,564.35,563.28,628,312,9863454,"5,555,891,511.45",141876,625.3,CIPLA
27-Jan-21,EQ,585.9,585.9,563.75,586.4,569.2,569.8,572.43,628,312,8534047,"4,885,169,910.95",147203,390.85,GLENMARK
25-Jan-21,EQ,577.1,594,567,575.2,584.45,586.4,584.52,628,312,8149590,"4,763,638,621.60",127138,694.475,AUROPHARMA
22-Jan-21,EQ,582.9,586.95,570.6,582.9,575.5,575.2,578.59,628,312,5591688,"3,235,315,874.00",105499,,
21-Jan-21,EQ,598,598.75,580.65,594.7,585.6,582.9,589.79,628,312,4546393,"2,681,408,607.70",73262,,
20-Jan-21,EQ,601.2,603.6,592.95,596.55,594,594.7,597.37,628,312,5182972,"3,096,139,668.65",72355,,
19-Jan-21,EQ,586.9,603,583.35,581.45,602,596.55,590.97,628,312,5500391,"3,250,558,740.70",84876,,
18-Jan-21,EQ,604.1,607.35,578.45,604.3,579.95,581.45,587.61,628,312,7414570,"4,356,842,561.30",130058,,
15-Jan-21,EQ,609,616.8,598.1,607.05,604,604.3,607.82,628,312,8389544,"5,099,354,128.70",123609,,
14-Jan-21,EQ,602.3,611.65,596.4,602.3,606.95,607.05,603.96,628,312,6730284,"4,064,849,636.85",81864,,
13-Jan-21,EQ,611,614.5,597.25,609.65,602.45,602.3,606.5,628,312,6186661,"3,752,216,257.45",94387,,
12-Jan-21,EQ,621,623.9,607.05,621,609.95,609.65,612.2,628,312,6747035,"4,130,515,081.55",100024,,
11-Jan-21,EQ,623.7,628,614.05,620.8,621.6,621,621.88,628,312,7516087,"4,674,068,456.30",131129,,
8-Jan-21,EQ,607,622.8,604,601.9,620.05,620.8,617.15,622.8,312,11451416,"7,067,188,082.15",134402,,
7-Jan-21,EQ,606.05,608,598,605.3,601.6,601.9,602.76,610.95,312,4555702,"2,745,995,426.65",69349,,
6-Jan-21,EQ,604.1,610.95,596.15,603.45,604,605.3,605.1,610.95,312,6422080,"3,885,999,085.25",76159,,
5-Jan-21,EQ,608.45,608.7,600,604.4,602.95,603.45,604.3,609.45,312,7790158,"4,707,613,797.20",94925,,
4-Jan-21,EQ,600,609.45,595.2,596.25,604.25,604.4,603.32,609.45,312,11329298,"6,835,213,567.15",131121,,
1-Jan-21,EQ,592.5,599.75,585.85,592.35,597.7,596.25,593.06,599.75,312,8229768,"4,880,771,793.15",111042,,
31-Dec-20,EQ,584.65,594.9,582.05,584,590.45,592.35,588,599.45,312,8835267,"5,195,130,378.55",99363,,
30-Dec-20,EQ,595,595,581.5,590.6,584.1,584,584.9,599.45,312,5589703,"3,269,403,535.05",67592,,
29-Dec-20,EQ,589.8,596,583.15,586.95,589.5,590.6,590.46,599.45,312,7430043,"4,387,149,813.30",94752,,
28-Dec-20,EQ,599,599.45,584.55,590.45,587.9,586.95,590.2,599.45,312,12299793,"7,259,374,964.75",121283,,
24-Dec-20,EQ,574.6,595,572.15,574.6,592.9,590.45,581.89,595,312,7486583,"4,356,392,198.80",107906,,
23-Dec-20,EQ,570,576.55,566.1,568.3,574.5,574.6,572.77,591.5,312,4958783,"2,840,257,928.10",73624,,
22-Dec-20,EQ,553,571.1,540.4,552.55,566.9,568.3,557.71,591.5,312,8012096,"4,468,422,485.35",117949,,
21-Dec-20,EQ,573.8,585.9,539.7,575,550,552.55,570.88,591.5,312,12715463,"7,259,055,407.35",209162,,
18-Dec-20,EQ,574,576.9,568,571.35,573.8,575,573.19,591.5,312,4940687,"2,831,936,076.55",64386,,
17-Dec-20,EQ,579.5,586.3,569.7,576.6,571.15,571.35,578.88,591.5,312,9025916,"5,224,880,692.30",130943,,
16-Dec-20,EQ,571,578.5,571,571.65,576.9,576.6,575.43,591.5,312,5135499,"2,955,141,671.20",67943,,
15-Dec-20,EQ,575,580,569,576.25,570.75,571.65,573.84,591.5,312,5896090,"3,383,416,430.70",77824,,
14-Dec-20,EQ,568.35,578.65,568.35,568.1,576.4,576.25,574.84,591.5,312,8582193,"4,933,379,916.95",102415,,
11-Dec-20,EQ,567.9,572.95,562,565.2,567.05,568.1,568.34,591.5,312,6968494,"3,960,456,869.70",72802,,
10-Dec-20,EQ,570,574.75,560.1,569.55,565,565.2,565.45,591.5,312,6755693,"3,820,018,052.85",90074,,
9-Dec-20,EQ,571,583.95,566.7,568.7,570.6,569.55,573.26,591.5,312,11144200,"6,388,544,882.60",117413,,
8-Dec-20,EQ,582,582,565.8,582.3,569.3,568.7,571.44,591.5,312,10673103,"6,099,014,855.90",154084,,
7-Dec-20,EQ,570.35,591.5,567.05,569.05,580.6,582.3,582.3,591.5,312,21232768,"12,363,786,659.00",233861,,
4-Dec-20,EQ,550,572.9,545.2,548.25,568.45,569.05,560.06,572.9,312,16177536,"9,060,354,080.00",188482,,
3-Dec-20,EQ,550,551.45,541,544.65,549.2,548.25,546.6,564.75,312,9345458,"5,108,268,791.35",100251,,
2-Dec-20,EQ,540.9,547,536,539.35,543.85,544.65,541.98,564.75,312,14234038,"7,714,595,896.30",133942,,
1-Dec-20,EQ,518,542.75,512.65,511.65,541,539.35,534.11,564.75,312,25388623,"13,560,327,148.60",264848,,
27-Nov-20,EQ,514,520.8,509.2,511.7,511.5,511.65,514.59,564.75,312,12954065,"6,666,080,117.25",129064,,
26-Nov-20,EQ,506,513,502.3,506.2,512.75,511.7,508.33,564.75,312,7494355,"3,809,628,916.00",84589,,
25-Nov-20,EQ,521.2,526,504.15,520.15,507,506.2,513.07,564.75,312,10673809,"5,476,412,935.55",114916,,
24-Nov-20,EQ,513.5,522.75,508.2,512.85,519.8,520.15,516.21,564.75,312,9096230,"4,695,583,150.75",98953,,
23-Nov-20,EQ,504,516.4,501,503.25,513.5,512.85,511.12,564.75,312,8931512,"4,565,091,957.75",98315,,
20-Nov-20,EQ,510,512.5,496,507.35,502.45,503.25,503.33,564.75,312,7594535,"3,822,559,716.95",99225,,
19-Nov-20,EQ,512,516.15,505,513,506,507.35,511.61,564.75,312,6843207,"3,501,030,019.80",65949,,
18-Nov-20,EQ,514,518.35,509,518.4,512.95,513,513,564.75,312,6483702,"3,326,147,497.40",72639,,
17-Nov-20,EQ,517,523.4,514.05,514,517.5,518.4,519.46,564.75,312,12411197,"6,447,059,443.55",121081,,
14-Nov-20,EQ,511,515.5,510.2,508.45,514,514,513.21,564.75,312,1766237,"906,455,849.75",21739,,
13-Nov-20,EQ,511.95,515.8,504.55,509.25,508,508.45,509.36,564.75,312,9501329,"4,839,638,586.60",86051,,
12-Nov-20,EQ,503.95,517.7,502.2,506.05,509.85,509.25,512.6,564.75,312,10911897,"5,593,384,810.95",119952,,
11-Nov-20,EQ,495,508.35,492,490.9,506.25,506.05,501.56,564.75,312,11754997,"5,895,829,748.20",130972,,
10-Nov-20,EQ,511,514.25,489,510.15,493,490.9,500.78,564.75,312,12767338,"6,393,690,352.45",155331,,
