Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,close_DRReddy,close_maruthi
1-Feb-21,EQ,"1,250.55","1,277.95","1,241.00","1,239.05","1,267.10",3139.35,"1,255.60","1,392.80",509.25,8880279,"11,150,104,432.25",232672,4428.15,7399.8
29-Jan-21,EQ,"1,286.25","1,291.15","1,231.00","1,276.20","1,250.00",3111.35,"1,253.29","1,392.80",509.25,12183519,"15,269,437,394.85",268406,4602.7,7206.65
28-Jan-21,EQ,"1,291.80","1,296.45","1,272.55","1,301.00","1,276.50",3196.55,"1,283.02","1,392.80",509.25,4660690,"5,979,774,972.30",212130,4871.8,7588.5
27-Jan-21,EQ,"1,319.60","1,327.55","1,285.10","1,325.10","1,300.50",3261.05,"1,308.99","1,392.80",509.25,8133665,"10,646,861,260.40",285525,4909.3,7870.9
25-Jan-21,EQ,"1,345.00","1,347.90","1,313.00","1,340.85","1,335.00",3291.3,"1,337.58","1,392.80",509.25,6542611,"8,751,273,546.85",159466,5082.4,7981.5
22-Jan-21,EQ,"1,327.00","1,356.00","1,326.55","1,339.70","1,336.00",3303.1,"1,344.65","1,392.80",509.25,9646591,"12,971,261,022.25",188343,5036.9,8048.85
21-Jan-21,EQ,"1,350.00","1,361.05","1,335.00","1,339.45","1,342.00",3273.85,"1,344.32","1,392.80",509.25,6142421,"8,257,354,257.80",156050,5052.2,8076.75
20-Jan-21,EQ,"1,320.55","1,348.40","1,320.55","1,316.65","1,338.85",3308.8,"1,338.37","1,392.80",509.25,8225838,"11,009,221,845.75",195330,5080.65,8144.95
19-Jan-21,EQ,"1,320.00","1,331.00","1,312.00","1,312.05","1,319.35",3260.7,"1,320.27","1,392.80",509.25,5585744,"7,374,694,216.10",178275,5088.9,7922.6
18-Jan-21,EQ,"1,338.00","1,340.00","1,306.00","1,344.95","1,311.00",3221.75,"1,320.52","1,392.80",509.25,8861765,"11,702,148,822.35",230056,5052.1,7830.65
15-Jan-21,EQ,"1,360.00","1,364.45","1,340.00","1,370.50","1,343.40",3233.35,"1,352.96","1,392.80",509.25,15018441,"20,319,423,540.10",278300,5212.8,8024.75
14-Jan-21,EQ,"1,360.00","1,384.00","1,318.45","1,387.15","1,370.50",3250.7,"1,359.34","1,392.80",509.25,27521697,"37,411,219,055.40",530803,5308.9,8149.45
13-Jan-21,EQ,"1,373.85","1,392.80","1,360.00","1,371.75","1,388.65",3158.95,"1,378.96","1,392.80",509.25,14442997,"19,916,243,435.80",304458,5290,8139.85
12-Jan-21,EQ,"1,378.00","1,378.00","1,360.00","1,376.20","1,376.50",3174.85,"1,369.78","1,383.35",509.25,8309868,"11,382,710,088.05",264378,5353.85,8188.05
11-Jan-21,EQ,"1,342.10","1,383.35","1,340.00","1,312.10","1,375.95",3176.45,"1,366.80","1,383.35",509.25,20528626,"28,058,554,925.95",387124,5416.8,8232.75
8-Jan-21,EQ,"1,278.25","1,316.80","1,278.25","1,262.15","1,311.50",3120.9,"1,298.10","1,316.80",509.25,13186251,"17,117,011,224.65",227983,5338.25,8014.9
7-Jan-21,EQ,"1,296.00","1,297.65","1,255.50","1,282.10","1,266.50",3032.8,"1,266.59","1,302.00",509.25,10954918,"13,875,416,120.90",236192,5270.9,7566.05
6-Jan-21,EQ,"1,300.00","1,302.00","1,268.05","1,293.80","1,282.50",3051.5,"1,288.38","1,302.00",509.25,7161715,"9,226,975,582.30",178942,5288.3,7628.6
5-Jan-21,EQ,"1,282.00","1,299.00","1,275.05","1,288.25","1,290.35",3093,"1,289.82","1,299.00",509.25,8145280,"10,505,964,474.35",168537,5286.9,7655.45
4-Jan-21,EQ,"1,269.00","1,290.00","1,261.15","1,260.45","1,288.00",3039.45,"1,278.28","1,290.00",509.25,7208454,"9,214,400,329.00",189946,5272.25,7702.3
1-Jan-21,EQ,"1,257.90","1,265.50","1,255.80","1,255.80","1,259.50",2928.25,"1,261.66","1,265.50",509.25,4253550,"5,366,530,407.75",97445,5241.35,7691.3
31-Dec-20,EQ,"1,243.00","1,258.40","1,239.00","1,246.80","1,253.50",2862.75,"1,249.41","1,258.85",509.25,7430470,"9,283,731,807.85",117406,5205.1,7649.6
30-Dec-20,EQ,"1,253.00","1,253.30","1,238.15","1,250.30","1,244.00",2909.3,"1,247.48","1,258.85",509.25,5194690,"6,480,283,008.90",107704,5170.95,7612.9
29-Dec-20,EQ,"1,235.00","1,254.45","1,235.00","1,240.30","1,249.85",2930.5,"1,246.33","1,258.85",509.25,6878105,"8,572,419,679.20",132402,5165.6,7452.35
28-Dec-20,EQ,"1,238.45","1,248.00","1,236.00","1,236.05","1,239.45",2929.4,"1,240.58","1,258.85",509.25,4607051,"5,715,406,465.10",123013,5201.8,7483
24-Dec-20,EQ,"1,249.90","1,249.90","1,226.00","1,253.05","1,237.35",2909.35,"1,236.34","1,258.85",509.25,7313885,"9,042,415,622.95",172066,5201.8,7446.05
23-Dec-20,EQ,"1,238.00","1,258.85","1,230.55","1,220.50","1,252.00",2908.75,"1,245.77","1,258.85",509.25,15878346,"19,780,713,238.45",277251,5224.1,7449.95
22-Dec-20,EQ,"1,182.00","1,223.85","1,176.10","1,177.30","1,219.95",2872.5,"1,200.28","1,223.85",509.25,10901851,"13,085,219,235.00",249518,5161.8,7395.4
21-Dec-20,EQ,"1,188.00","1,209.75","1,152.05","1,189.80","1,174.00",2820.15,"1,192.94","1,209.75",509.25,10858352,"12,953,347,754.60",246658,5068.55,7376.1
18-Dec-20,EQ,"1,182.85","1,195.00","1,175.60","1,159.20","1,186.00",2861,"1,187.95","1,195.00",509.25,15995676,"19,002,082,921.70",279675,5228.75,7559.75
17-Dec-20,EQ,"1,165.90","1,168.90","1,156.20","1,165.70","1,158.60",2838.2,"1,162.88","1,186.00",509.25,6658153,"7,742,601,947.25",204147,5072.85,7694
16-Dec-20,EQ,"1,160.00","1,168.90","1,153.60","1,154.60","1,164.00",2814.2,"1,160.77","1,186.00",509.25,7788404,"9,040,530,195.00",158579,5038.95,7796.35
15-Dec-20,EQ,"1,156.00","1,163.70","1,152.00","1,164.55","1,154.40",2761.55,"1,156.78","1,186.00",509.25,6905926,"7,988,669,803.50",177326,5031.35,7765.25
14-Dec-20,EQ,"1,169.40","1,172.60","1,148.20","1,163.20","1,163.50",2797.7,"1,159.72","1,186.00",509.25,6728187,"7,802,805,823.50",186990,5022.8,7696.8
11-Dec-20,EQ,"1,159.70","1,171.95","1,155.25","1,167.75","1,165.20",2783.6,"1,163.84","1,186.00",509.25,10574009,"12,306,503,429.55",178023,5016.95,7733.55
10-Dec-20,EQ,"1,157.40","1,171.65","1,150.00","1,175.20","1,168.00",2784.3,"1,164.18","1,186.00",509.25,9488782,"11,046,635,082.65",295020,5053.1,7736
9-Dec-20,EQ,"1,168.05","1,179.50","1,157.00","1,153.35","1,176.55",2810.8,"1,169.97","1,186.00",509.25,10039346,"11,745,774,021.15",274494,5056.9,7709.25
8-Dec-20,EQ,"1,145.00","1,167.00","1,145.00","1,143.50","1,153.00",2797.3,"1,154.21","1,186.00",509.25,12308330,"14,206,387,606.60",272695,5015.2,7762.7
7-Dec-20,EQ,"1,147.30","1,153.00","1,136.00","1,134.65","1,142.95",2737.7,"1,142.07","1,186.00",509.25,7792141,"8,899,186,636.30",168273,5029.1,7743.4
4-Dec-20,EQ,"1,125.00","1,137.00","1,115.00","1,126.45","1,134.50",2727.55,"1,127.86","1,186.00",509.25,10564055,"11,914,725,948.45",167778,4908.55,7803.15
3-Dec-20,EQ,"1,147.00","1,147.00","1,122.70","1,140.90","1,125.00",2709.45,"1,128.63","1,186.00",509.25,16212632,"18,298,022,227.75",247732,4923.05,7739.1
2-Dec-20,EQ,"1,134.00","1,147.45","1,121.00","1,137.85","1,142.00",2749.55,"1,130.35","1,186.00",509.25,6741637,"7,620,426,542.50",153925,4850.25,7206.5
1-Dec-20,EQ,"1,105.05","1,140.25","1,105.05","1,100.00","1,137.05",2726.8,"1,129.13","1,186.00",509.25,8933802,"10,087,463,062.05",227850,4830.4,7101.7
