Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,753,808.85,741.55,749.6,795.9,795.15,783.02,843.85,245.4,6592083,"5,161,706,513.85",117679
29-Jan-21,EQ,772.55,799.95,746,765,753,749.6,773.41,843.85,245.4,8761073,"6,775,910,947.30",141358
28-Jan-21,EQ,758,778.1,756.1,769.95,764.85,765,765.25,843.85,245.4,4622634,"3,537,492,428.35",137863
27-Jan-21,EQ,797,817,763.4,794.55,765.15,769.95,794.22,843.85,245.4,6585102,"5,230,010,892.80",143137
25-Jan-21,EQ,802.1,812.95,784.25,798.4,795.95,794.55,795.27,843.85,245.4,3353172,"2,666,679,504.65",80262
22-Jan-21,EQ,808,826.7,795,808.25,798,798.4,810.65,843.85,245.4,5588252,"4,530,140,883.30",104048
21-Jan-21,EQ,823,835,800.3,824.5,811.95,808.25,824.06,843.85,245.4,4455107,"3,671,266,765.60",103684
20-Jan-21,EQ,807,831.95,802,808.05,822,824.5,819.32,843.85,245.4,4502291,"3,688,836,676.25",98933
19-Jan-21,EQ,810,819.6,801.55,809,808.6,808.05,809.88,843.85,245.4,3991167,"3,232,380,794.05",73501
18-Jan-21,EQ,817.9,820.8,797.15,819.65,800.05,809,810.89,843.85,245.4,3955069,"3,207,124,927.05",76032
15-Jan-21,EQ,828,838,815.35,829.9,820.3,819.65,824.33,843.85,245.4,4996951,"4,119,120,367.35",102732
14-Jan-21,EQ,828.9,843.85,827.35,828.35,829.4,829.9,833.55,843.85,245.4,8576718,"7,149,090,097.70",123976
13-Jan-21,EQ,784.6,837.5,782.25,779.85,824,828.35,820.15,837.5,245.4,19610461,"16,083,512,888.40",267325
12-Jan-21,EQ,789.95,796.75,777.4,789.1,779.3,779.85,785.66,796.75,245.4,5532160,"4,346,394,140.20",94202
11-Jan-21,EQ,773.05,791.4,763.2,770.5,788.3,789.1,780.01,791.4,245.4,6643610,"5,182,069,815.05",110656
8-Jan-21,EQ,750,772.8,745,744.4,767,770.5,763.38,772.8,245.4,5998381,"4,579,046,016.05",124731
7-Jan-21,EQ,743,755,740.1,736.1,744,744.4,748.05,764.45,245.4,4063641,"3,039,798,279.85",82407
6-Jan-21,EQ,741,746.45,730.45,740.1,733,736.1,739.57,764.45,245.4,3601608,"2,663,645,626.95",86314
