Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,1646,1697,1616.55,1645.15,1686.2,1690,1661.16,1820,692,533928,"886,938,019.75",25288
29-Jan-21,EQ,1688,1722,1617.45,1665.25,1642.65,1645.15,1659.62,1820,692,1235120,"2,049,832,567.25",47572
28-Jan-21,EQ,1685,1748.6,1660.4,1702.75,1663.45,1665.25,1700.94,1820,692,1038667,"1,766,711,757.35",42535
27-Jan-21,EQ,1757,1757.4,1692,1740.8,1695,1702.75,1727.29,1820,692,932779,"1,611,183,873.25",43677
25-Jan-21,EQ,1803.8,1809.8,1731.25,1791.3,1743,1740.8,1756.73,1820,692,742962,"1,305,186,157.75",35303
22-Jan-21,EQ,1750,1800,1715.2,1759,1789,1791.3,1776.97,1820,692,1286297,"2,285,711,599.80",56487
21-Jan-21,EQ,1810,1820,1741.05,1782.85,1764.95,1759,1782.67,1820,692,1971206,"3,514,016,357.00",68090
20-Jan-21,EQ,1695,1793.95,1683.05,1681.9,1792,1782.85,1752.81,1793.95,692,3331589,"5,839,647,305.50",117031
19-Jan-21,EQ,1700,1760,1664.15,1663.55,1682,1681.9,1706.69,1780,692,4558068,"7,779,207,514.85",151650
18-Jan-21,EQ,1701,1708.4,1652,1696.6,1658.45,1663.55,1678.23,1780,692,680532,"1,142,092,617.00",25640
15-Jan-21,EQ,1750,1759.45,1680,1743.75,1697.2,1696.6,1713.43,1780,692,663007,"1,136,013,327.15",36324
14-Jan-21,EQ,1752,1752,1701,1745.25,1742,1743.75,1722.68,1780,692,1294936,"2,230,766,775.65",41148
13-Jan-21,EQ,1754,1768.95,1727.3,1750.85,1742.8,1745.25,1749.25,1780,692,499380,"873,542,034.35",24769
12-Jan-21,EQ,1768,1768,1741.4,1762.4,1746,1750.85,1754.63,1780,692,730391,"1,281,566,644.85",21461
11-Jan-21,EQ,1749.6,1780,1726,1740.15,1760,1762.4,1757.6,1780,692,1341318,"2,357,502,403.80",40922
8-Jan-21,EQ,1692,1745,1690.8,1682.1,1734.4,1740.15,1726.28,1745,692,1029933,"1,777,956,652.50",30539
7-Jan-21,EQ,1700,1709.4,1653.85,1694.85,1685,1682.1,1681.3,1725,692,722553,"1,214,825,174.10",23635
6-Jan-21,EQ,1720,1724,1668,1713.8,1694.95,1694.85,1703.42,1725,692,842883,"1,435,785,085.30",35365
5-Jan-21,EQ,1685,1725,1671,1689.2,1715,1713.8,1705.64,1725,692,963468,"1,643,333,339.50",33750
4-Jan-21,EQ,1669,1698.9,1657.05,1659.25,1690,1689.2,1683.91,1698.9,692,949815,"1,599,399,635.15",31818
1-Jan-21,EQ,1655,1682.85,1651.8,1660.35,1657.9,1659.25,1666.26,1682.85,692,579292,"965,248,713.00",19101
31-Dec-20,EQ,1629,1665,1615.5,1629.95,1655,1660.35,1643.64,1665,692,929998,"1,528,578,763.55",30421
30-Dec-20,EQ,1625,1635.4,1607.7,1621.75,1627.45,1629.95,1625.24,1635.65,692,903715,"1,468,753,362.10",37963
29-Dec-20,EQ,1617,1635.65,1608.4,1608.8,1620,1621.75,1621.71,1635.65,692,931884,"1,511,241,031.95",24546
28-Dec-20,EQ,1597.8,1629,1594.1,1597.7,1610,1608.8,1611.54,1629,692,1168908,"1,883,737,963.00",36690
24-Dec-20,EQ,1600,1622.8,1570.15,1596.1,1596.45,1597.7,1595.33,1622.8,692,1576565,"2,515,140,067.35",59237
23-Dec-20,EQ,1535,1609.5,1531.35,1525.05,1591,1596.1,1576.29,1609.5,692,3323625,"5,238,987,813.10",104227
22-Dec-20,EQ,1436,1530,1430.55,1427.15,1529.95,1525.05,1489.35,1605.85,692,2779116,"4,139,086,535.90",87481
21-Dec-20,EQ,1476.1,1491.75,1399.7,1476.1,1433,1427.15,1453.97,1605.85,692,1613406,"2,345,841,595.20",46234
