Date,series,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,815,831,779.95,825.9,805.95,806.4,812.75,864.6,355.3,13856367,"11,261,783,138.50",202806
29-Jan-21,EQ,847.95,850.85,820.75,841.9,828,825.9,835.27,864.6,355.3,7185812,"6,002,117,718.60",127245
28-Jan-21,EQ,835.5,848.85,825.7,842.5,840.3,841.9,839.27,864.6,355.3,4489853,"3,768,212,473.60",84347
27-Jan-21,EQ,839.9,856.45,825.2,836.8,839.7,842.5,843.08,864.6,355.3,7410174,"6,247,389,509.85",133350
25-Jan-21,EQ,813,857,808.25,808.3,839,836.8,839.3,864.6,355.3,10704200,"8,984,052,307.35",168368
22-Jan-21,EQ,815.8,822.5,798.25,812.75,808.9,808.3,811.56,864.6,355.3,3883231,"3,151,475,334.35",83297
21-Jan-21,EQ,835,839.3,809,832.8,817.65,812.75,825.72,864.6,355.3,3326213,"2,746,528,293.65",70380
20-Jan-21,EQ,822.5,834.9,822.3,822.45,832.85,832.8,828.51,864.6,355.3,3056546,"2,532,392,573.95",60544
19-Jan-21,EQ,802.5,825.4,802.5,801.75,825,822.45,815.77,864.6,355.3,3791378,"3,092,880,549.00",76171
18-Jan-21,EQ,822,826.65,796.2,823.7,798.9,801.75,807.82,864.6,355.3,3742440,"3,023,231,872.90",63341
15-Jan-21,EQ,839,844.9,821,840.9,824.45,823.7,830.46,864.6,355.3,3137877,"2,605,875,426.85",57322
14-Jan-21,EQ,841.7,847.55,829,841.7,839.25,840.9,837.22,864.6,355.3,3652930,"3,058,293,399.35",56889
13-Jan-21,EQ,847.35,852,832.5,843.15,840.9,841.7,843.39,864.6,355.3,3596529,"3,033,266,616.95",58977
12-Jan-21,EQ,860,864.6,841,856.85,844,843.15,852.29,864.6,355.3,4338010,"3,697,257,149.80",78904
11-Jan-21,EQ,839,860,832.75,838.7,859,856.85,848.45,860,355.3,5332109,"4,524,003,157.30",110720
8-Jan-21,EQ,830.7,846.2,827.4,826.55,836.2,838.7,838.26,846.2,355.3,5072916,"4,252,438,018.80",125099
7-Jan-21,EQ,830,830.45,818,824.8,829.4,826.55,824.16,843.75,355.3,2879675,"2,373,308,391.50",60348
6-Jan-21,EQ,829,834.4,815.25,827.25,825,824.8,826.6,843.75,355.3,3318460,"2,743,047,281.35",59438
5-Jan-21,EQ,832.25,843.75,825.3,832.25,827.75,827.25,831.58,843.75,355.3,4559213,"3,791,349,413.30",64786
4-Jan-21,EQ,831,837.3,826.55,826.6,831.5,832.25,832.26,839,355.3,3487801,"2,902,752,557.80",60915
1-Jan-21,EQ,822.8,828.95,820.65,819.95,827.3,826.6,826.17,839,355.3,2474916,"2,044,692,332.90",44615
31-Dec-20,EQ,824,833.35,816.4,823.8,818.9,819.95,824.2,839,355.3,4842886,"3,991,520,661.45",72167
30-Dec-20,EQ,830,830,816.05,827.95,823.4,823.8,821.25,839,355.3,2715404,"2,230,021,015.35",49155
29-Dec-20,EQ,830.15,835.75,817.5,830.15,825.15,827.95,826.62,839,355.3,3311293,"2,737,184,583.20",65253
28-Dec-20,EQ,837.6,839,825.2,833.2,829.95,830.15,833.16,839,355.3,4810932,"4,008,260,788.65",81422
24-Dec-20,EQ,828.8,834.9,815.3,824.65,834.65,833.2,825.58,834.9,355.3,7294578,"6,022,224,914.00",111654
23-Dec-20,EQ,796.35,827,792.25,795,824.9,824.65,813.93,829.05,355.3,8520251,"6,934,873,099.95",129663
22-Dec-20,EQ,782,798,761.1,778.5,796.2,795,780.67,829.05,355.3,6139589,"4,793,005,985.55",119233
21-Dec-20,EQ,793,816.9,760,793.45,778,778.5,799.68,829.05,355.3,14465355,"11,567,698,357.95",204383
18-Dec-20,EQ,784.25,796,781.5,783.2,795.15,793.45,790.65,829.05,355.3,6487014,"5,128,965,382.25",89706
17-Dec-20,EQ,790.75,794.85,781.1,786.8,783.15,783.2,787.84,829.05,355.3,3984988,"3,139,547,407.55",70511
16-Dec-20,EQ,790.35,790.35,782.3,781.65,787.7,786.8,786,829.05,355.3,3817724,"3,000,720,156.50",63525
15-Dec-20,EQ,789.3,798,779.25,789.3,780.75,781.65,788.72,829.05,355.3,8249684,"6,506,727,911.05",120051
14-Dec-20,EQ,778.3,793.3,776.35,755.85,786.9,789.3,786.05,829.05,355.3,19785595,"15,552,565,167.60",309241
11-Dec-20,EQ,764,766.1,753,762.75,756,755.85,759.26,829.05,355.3,3178041,"2,412,966,661.85",58203
10-Dec-20,EQ,763,767.7,755.1,762.4,762.1,762.75,762.16,829.05,355.3,3679209,"2,804,162,419.40",90764
