Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,4560.05,4577.65,4393.05,4602.7,4434.3,4428.15,4434.05,5512.65,2495.05,2590340,"11,485,705,975.90",191794
29-Jan-21,EQ,4890,4915,4550,4871.8,4613.55,4602.7,4705.7,5512.65,2495.05,2964195,"13,948,599,177.10",190160
28-Jan-21,EQ,4845,4903.95,4777,4909.3,4841,4871.8,4847.21,5512.65,2495.05,1033094,"5,007,620,326.15",90306
27-Jan-21,EQ,5052.4,5052.4,4832.8,5082.4,4902,4909.3,4939.64,5512.65,2495.05,1052396,"5,198,453,350.65",115152
25-Jan-21,EQ,5042,5128.4,4960,5036.9,5080,5082.4,5057.41,5512.65,2495.05,717779,"3,630,105,543.05",55583
22-Jan-21,EQ,5048.75,5105.35,4985,5052.2,5037.75,5036.9,5040.3,5512.65,2495.05,763122,"3,846,361,644.80",60162
21-Jan-21,EQ,5110,5138,5033.9,5080.65,5068.95,5052.2,5088.12,5512.65,2495.05,581324,"2,957,847,227.30",49087
20-Jan-21,EQ,5102.3,5159.75,5065.05,5088.9,5084.9,5080.65,5105.19,5512.65,2495.05,679629,"3,469,637,769.05",52744
19-Jan-21,EQ,5088,5104.95,5036.55,5052.1,5085.3,5088.9,5066.72,5512.65,2495.05,798099,"4,043,747,241.95",49824
18-Jan-21,EQ,5231,5237.95,5035,5212.8,5046.9,5052.1,5100.04,5512.65,2495.05,882411,"4,500,332,364.95",68064
15-Jan-21,EQ,5315,5315,5195.6,5308.9,5212.1,5212.8,5240.23,5512.65,2495.05,515521,"2,701,448,136.40",36886
14-Jan-21,EQ,5304.9,5328,5265,5290,5317.6,5308.9,5298.07,5512.65,2495.05,534972,"2,834,317,569.70",37494
13-Jan-21,EQ,5365,5375,5238,5353.85,5280,5290,5299.45,5512.65,2495.05,659212,"3,493,457,937.85",46935
12-Jan-21,EQ,5440.95,5443.5,5329.45,5416.8,5355,5353.85,5377.36,5512.65,2495.05,748372,"4,024,266,847.20",47291
11-Jan-21,EQ,5344,5427,5326,5338.25,5413,5416.8,5396.87,5512.65,2495.05,919847,"4,964,296,017.95",66763
8-Jan-21,EQ,5299.9,5360,5279,5270.9,5345,5338.25,5332.08,5512.65,2495.05,809183,"4,314,627,572.95",45991
7-Jan-21,EQ,5301,5325,5253,5288.3,5285.25,5270.9,5281.31,5512.65,2495.05,653293,"3,450,243,671.55",43994
6-Jan-21,EQ,5286.9,5315,5226,5286.9,5282,5288.3,5274.1,5512.65,2495.05,542678,"2,862,136,617.85",44072
5-Jan-21,EQ,5240,5337,5226.95,5272.25,5284.65,5286.9,5291.43,5512.65,2495.05,954184,"5,048,997,344.30",57418
4-Jan-21,EQ,5260,5308.35,5241.35,5241.35,5268.6,5272.25,5277.41,5512.65,2495.05,784688,"4,141,119,113.65",50183
1-Jan-21,EQ,5217.25,5254.85,5200,5205.1,5233,5241.35,5232.78,5512.65,2495.05,583043,"3,050,933,889.25",34946
31-Dec-20,EQ,5190,5253.75,5161,5170.95,5214,5205.1,5208.41,5512.65,2495.05,1207238,"6,287,792,726.95",67624
30-Dec-20,EQ,5191.45,5191.45,5142.5,5165.6,5165,5170.95,5162.52,5512.65,2495.05,475269,"2,453,587,389.20",32851
29-Dec-20,EQ,5225,5269,5145.6,5201.8,5155,5165.6,5198.6,5512.65,2495.05,882433,"4,587,418,828.50",69669
28-Dec-20,EQ,5228.15,5235,5187,5201.8,5198,5201.8,5214.54,5512.65,2495.05,411173,"2,144,076,747.90",27717
24-Dec-20,EQ,5247,5247,5165,5224.1,5203.95,5201.8,5198.04,5512.65,2495.05,675636,"3,511,984,134.45",51937
23-Dec-20,EQ,5161.45,5238.7,5131.25,5161.8,5217.9,5224.1,5192.16,5512.65,2495.05,812470,"4,218,475,764.25",52903
22-Dec-20,EQ,5107.7,5175,4936.35,5068.55,5150,5161.8,5084.74,5512.65,2495.05,1552824,"7,895,713,795.60",113483
21-Dec-20,EQ,5243,5274.2,4962.05,5228.75,5061,5068.55,5172.03,5512.65,2495.05,1812257,"9,373,040,723.65",127585
18-Dec-20,EQ,5080,5262.85,5078.15,5072.85,5243,5228.75,5197.14,5512.65,2495.05,3705133,"19,256,108,513.85",126944
17-Dec-20,EQ,5050,5134.5,5030,5038.95,5074.45,5072.85,5096.16,5512.65,2495.05,1360601,"6,933,835,693.75",74620
16-Dec-20,EQ,5050,5051.75,5006,5031.35,5045,5038.95,5028.99,5512.65,2495.05,832456,"4,186,409,015.45",53788
15-Dec-20,EQ,5046.95,5076,5010.2,5022.8,5026,5031.35,5040.94,5512.65,2495.05,1005104,"5,066,672,700.95",61344
14-Dec-20,EQ,4952,5054,4952,5016.95,5024,5022.8,5019.53,5512.65,2495.05,1183625,"5,941,239,317.55",78817
11-Dec-20,EQ,5055.1,5084.05,4984.8,5053.1,5013,5016.95,5032.92,5512.65,2495.05,767963,"3,865,098,016.20",43289
10-Dec-20,EQ,5058,5086.4,5015,5056.9,5050,5053.1,5054.79,5512.65,2495.05,948294,"4,793,423,023.00",59720
9-Dec-20,EQ,5025,5100,5025,5015.2,5058,5056.9,5062.83,5512.65,2495.05,1353498,"6,852,525,576.90",85686
8-Dec-20,EQ,5050,5080,4955.9,5029.1,5011,5015.2,5028.04,5512.65,2495.05,1327701,"6,675,738,681.80",83715
7-Dec-20,EQ,4930,5074,4905.1,4908.55,5028.45,5029.1,5016.86,5512.65,2495.05,2405904,"12,070,078,324.20",126157
4-Dec-20,EQ,4940,4960.55,4862.1,4923.05,4914,4908.55,4908.82,5512.65,2495.05,1399682,"6,870,781,384.25",74301
3-Dec-20,EQ,4870,4939,4842.6,4850.25,4939,4923.05,4887,5512.65,2495.05,1034893,"5,057,525,032.25",66504
2-Dec-20,EQ,4852.1,4889,4811,4830.4,4848.35,4850.25,4847.29,5512.65,2495.05,1223452,"5,930,422,510.15",76193
1-Dec-20,EQ,4870,4870,4806,4828.95,4835.1,4830.4,4835.73,5512.65,2495.05,1117190,"5,402,426,138.20",80383
27-Nov-20,EQ,4901,4935.55,4809.2,4901.35,4826,4828.95,4866.15,5512.65,2495.05,2003738,"9,750,489,075.25",99080
26-Nov-20,EQ,4810,4929.3,4773.8,4806.3,4905,4901.35,4842.75,5512.65,2495.05,1667235,"8,074,000,301.55",88306
25-Nov-20,EQ,4998,5017,4781,4915.5,4803,4806.3,4903.52,5512.65,2495.05,2659116,"13,039,024,672.65",156963
24-Nov-20,EQ,4850,4940,4785.8,4828.75,4934.1,4915.5,4871.51,5512.65,2495.05,1922298,"9,364,490,471.70",115067
