Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,473.45,482.65,464.1,471.55,480.7,479.65,473.44,573.05,161.65,1614680,"764,446,897.40",33474
29-Jan-21,EQ,483.9,486,469.9,480.75,473.4,471.55,477.98,573.05,161.65,1608478,"768,813,113.30",31672
28-Jan-21,EQ,482.1,491.5,476.2,485.9,479.4,480.75,484.16,573.05,161.65,2438690,"1,180,716,696.55",55115
27-Jan-21,EQ,490.7,495.85,483,491.4,485,485.9,490.14,573.05,161.65,1443779,"707,649,637.10",40403
25-Jan-21,EQ,499.65,501.45,482.6,495.15,490.7,491.4,492.98,573.05,161.65,1763950,"869,598,311.90",35303
22-Jan-21,EQ,492.2,502.85,484,497.15,495.7,495.15,494.04,573.05,161.65,2349896,"1,160,949,551.40",39153
21-Jan-21,EQ,510,510.15,495,509,498.05,497.15,502.09,573.05,161.65,1631561,"819,193,526.00",29331
20-Jan-21,EQ,504,510.5,500.05,504.35,509.5,509,506.04,573.05,161.65,1181223,"597,740,450.60",27110
19-Jan-21,EQ,499,506.7,496.05,496.25,506.5,504.35,501.67,573.05,161.65,1171344,"587,630,463.10",22041
18-Jan-21,EQ,512.1,512.1,493,512.1,493,496.25,498.9,573.05,161.65,1624152,"810,292,062.35",28761
15-Jan-21,EQ,521.9,524.75,508.05,520.4,511.95,512.1,513.72,573.05,161.65,1849462,"950,105,232.90",29821
14-Jan-21,EQ,514.4,522.8,506.7,514.75,521,520.4,514.8,573.05,161.65,2055150,"1,057,983,407.65",28663
13-Jan-21,EQ,520,523.9,505.15,517.25,512.9,514.75,515.1,573.05,161.65,1965007,"1,012,167,450.35",37670
12-Jan-21,EQ,525,532,515.6,523.3,517.4,517.25,523.36,573.05,161.65,3090004,"1,617,190,467.90",53803
11-Jan-21,EQ,519.1,525.35,516.55,517.65,523.2,523.3,522.13,573.05,161.65,1509572,"788,192,088.10",32491
8-Jan-21,EQ,516,523.9,513.25,514.35,518,517.65,519.04,573.05,161.65,1514739,"786,213,478.95",22882
7-Jan-21,EQ,523,524,512.15,520.25,515,514.35,516.87,573.05,161.65,2024795,"1,046,562,200.30",29351
6-Jan-21,EQ,518,525.6,511.15,517.7,519.75,520.25,520.94,573.05,161.65,2171228,"1,131,085,091.55",30546
5-Jan-21,EQ,514.6,520,510,514.6,517.5,517.7,516.86,573.05,161.65,2056118,"1,062,734,919.90",29159
4-Jan-21,EQ,504.3,519.4,503,502.6,514.6,514.6,513.17,573.05,161.65,2551988,"1,309,613,952.70",36039
1-Jan-21,EQ,493.75,503.95,493.7,493.5,502.95,502.6,500.65,573.05,161.65,1367409,"684,587,210.60",19300
31-Dec-20,EQ,501.5,507.5,492,499.25,492.55,493.5,499.23,573.05,161.65,3118976,"1,557,096,884.60",40285
30-Dec-20,EQ,500,500.35,492.75,497.9,496.5,499.25,497,573.05,161.65,1490678,"740,873,837.20",25466
29-Dec-20,EQ,501.4,504.8,491.3,498.9,496.05,497.9,498.49,573.05,161.65,1409683,"702,714,055.35",23220
28-Dec-20,EQ,500,502.75,495.25,496.2,498.45,498.9,498.67,573.05,161.65,1102762,"549,913,764.45",14736
24-Dec-20,EQ,497.5,504.9,489.6,495.2,498,496.2,497.08,573.05,161.65,1940686,"964,673,274.60",29362
23-Dec-20,EQ,488.45,497.5,487.2,484.05,496.15,495.2,493.05,573.05,161.65,2055730,"1,013,578,422.25",30698
22-Dec-20,EQ,488.55,496.2,467.15,488.55,485.45,484.05,479.57,573.05,161.65,2641936,"1,266,982,118.20",44630
