Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,269.75,282,255.35,262.7,280.3,279.6,269.6,306.9,63.5,165655500,"44,660,633,817.45",797774
29-Jan-21,EQ,273,278.8,260.6,266.8,262.35,262.7,270.74,306.9,63.5,138442348,"37,481,389,731.10",588270
28-Jan-21,EQ,260.05,273.4,259.05,267.5,266,266.8,266.8,306.9,63.5,129156876,"34,459,498,740.45",543019
27-Jan-21,EQ,274.9,275,265.7,279.15,266.75,267.5,269.62,306.9,63.5,126586833,"34,130,526,615.40",577227
25-Jan-21,EQ,296.9,299.5,277.35,289.35,278.7,279.15,284.75,306.9,63.5,164346913,"46,797,325,645.85",726552
22-Jan-21,EQ,295.95,306.9,278.35,290.6,290.85,289.35,296.37,306.9,63.5,316008609,"93,656,707,364.20",1318669
21-Jan-21,EQ,281,299,280,274.9,292.45,290.6,291.38,299,63.5,283614463,"82,638,647,239.00",1124524
20-Jan-21,EQ,260,277.5,258.85,258.65,274.4,274.9,271.49,277.5,63.5,205145151,"55,695,362,793.25",828086
19-Jan-21,EQ,251.5,261.7,251.3,245.95,258.75,258.65,256.26,264.65,63.5,136861059,"35,072,393,058.90",522685
18-Jan-21,EQ,261.65,262.45,241.15,260.3,244.5,245.95,249.46,264.65,63.5,173383224,"43,251,333,303.50",651158
15-Jan-21,EQ,246,264.65,242.6,245.1,261.6,260.3,255.48,264.65,63.5,250038029,"63,879,688,196.45",907714
14-Jan-21,EQ,242.85,249.8,238.6,242.6,245.25,245.1,244.21,252.4,63.5,86819519,"21,202,397,636.60",379083
13-Jan-21,EQ,242.9,248.8,238.4,237.8,242.85,242.6,243.45,252.4,63.5,164649387,"40,084,035,851.50",612651
12-Jan-21,EQ,227,252.4,224.1,220.65,237.25,237.8,238.18,252.4,63.5,390577839,"93,029,495,460.45",1303825
11-Jan-21,EQ,199.9,225.4,199.65,198.15,223.2,220.65,211.45,225.4,63.5,182483100,"38,585,523,226.80",635889
8-Jan-21,EQ,198.75,201.5,197.1,196.75,197.85,198.15,199.44,201.7,63.5,53991568,"10,768,126,835.90",191216
7-Jan-21,EQ,197,200.35,195.1,195.4,196.5,196.75,198.02,201.7,63.5,66024848,"13,073,913,349.50",232249
6-Jan-21,EQ,194.45,197.6,190.65,193.2,194.9,195.4,194.82,201.7,63.5,75621947,"14,732,365,582.35",302100
5-Jan-21,EQ,187.1,193.9,185.05,191.3,193,193.2,188.96,201.7,63.5,75752593,"14,313,931,037.85",299902
4-Jan-21,EQ,191.8,193,188.75,186.5,191.15,191.3,191.13,201.7,63.5,63980597,"12,228,765,285.55",253278
1-Jan-21,EQ,184.95,187,184.5,183.85,186.55,186.5,185.68,201.7,63.5,27334421,"5,075,365,028.55",110094
31-Dec-20,EQ,184.85,187.5,182.8,184.15,183.5,183.85,185.33,201.7,63.5,48978310,"9,077,220,422.90",182333
30-Dec-20,EQ,183.1,185.4,180.4,183.45,184.85,184.15,182.49,201.7,63.5,38576159,"7,039,750,093.50",140846
29-Dec-20,EQ,187.9,188.45,181.1,186.35,183.5,183.45,184.51,201.7,63.5,71318085,"13,159,122,342.40",288808
28-Dec-20,EQ,179.85,187.4,179,175.95,186,186.35,184.4,201.7,63.5,98012135,"18,073,634,113.15",356065
24-Dec-20,EQ,172,178,172,169.2,175.8,175.95,175.59,201.7,63.5,73831319,"12,963,747,737.15",254698
23-Dec-20,EQ,165,169.7,163.4,164.95,169.5,169.2,166.94,201.7,63.5,56930071,"9,503,742,280.20",197114
22-Dec-20,EQ,164.55,169.2,156.7,164.55,165.05,164.95,161.45,201.7,63.5,110009846,"17,761,321,437.50",407075
21-Dec-20,EQ,176,177.55,162.5,180.55,163.5,164.55,170.86,201.7,63.5,75582907,"12,914,314,394.40",332579
18-Dec-20,EQ,180.9,181.5,176.65,181.7,180.4,180.55,179.59,201.7,63.5,46065197,"8,272,922,292.35",142599
17-Dec-20,EQ,184,184,180.65,182.55,181.3,181.7,182.75,201.7,63.5,34101954,"6,232,261,080.20",119653
16-Dec-20,EQ,181,183.8,180.1,178.9,182.25,182.55,182.28,201.7,63.5,51259394,"9,343,791,573.45",176362
15-Dec-20,EQ,176.45,179.7,173.25,177.65,178.9,178.9,175.7,201.7,63.5,41190341,"7,237,031,319.90",173128
14-Dec-20,EQ,181,181.5,176.7,178.85,177.9,177.65,178.12,201.7,63.5,33186273,"5,911,041,528.75",132474
11-Dec-20,EQ,177.95,181.45,176.5,177.6,178.2,178.85,179.3,201.7,63.5,43065542,"7,721,727,569.50",177254
10-Dec-20,EQ,182.7,182.7,176.4,182.7,177.95,177.6,178.33,201.7,63.5,38368777,"6,842,370,815.25",160033
9-Dec-20,EQ,183,186.4,181.65,181.8,182.85,182.7,183.87,201.7,63.5,40300535,"7,410,171,899.10",179777
8-Dec-20,EQ,184.95,185.7,178.95,183.55,181.75,181.8,182.23,201.7,63.5,42143391,"7,679,876,271.05",178817
7-Dec-20,EQ,184.45,186.45,182.7,184.15,183.9,183.55,184.4,201.7,63.5,29802472,"5,495,510,398.50",118659
4-Dec-20,EQ,186.5,188.8,182.2,184.85,184.25,184.15,185.44,201.7,63.5,47995639,"8,900,542,774.70",190324
3-Dec-20,EQ,185,186,183.25,183.6,185,184.85,184.78,201.7,63.5,33332481,"6,159,303,793.85",140459
2-Dec-20,EQ,184,187.35,181.1,179.75,183.3,183.6,184.35,201.7,63.5,88107889,"16,242,924,919.00",311386
1-Dec-20,EQ,182.35,182.4,178.1,180.35,179.85,179.75,179.94,201.7,63.5,48881250,"8,795,551,167.40",199976
27-Nov-20,EQ,174.65,183.85,174.65,173.75,178.65,180.35,181.13,201.7,63.5,125926062,"22,808,680,610.25",404522
26-Nov-20,EQ,171.6,175,171.05,171.45,174.65,173.75,172.44,201.7,63.5,39094724,"6,741,676,312.80",153282
25-Nov-20,EQ,175,176.8,169.25,172.05,170.95,171.45,173.82,201.7,63.5,54366608,"9,449,800,832.10",237171
24-Nov-20,EQ,171.85,175.5,171.1,170.7,172,172.05,173.64,201.7,63.5,47695247,"8,281,642,645.30",208912
23-Nov-20,EQ,169.5,173.9,165.55,169.1,170.45,170.7,169.75,201.7,63.5,54566251,"9,262,861,649.50",223504
20-Nov-20,EQ,170.05,171.55,165.55,167.95,168.3,169.1,168.89,201.7,63.5,66935703,"11,304,949,881.45",282455
19-Nov-20,EQ,171.4,176.35,166.55,173.5,166.95,167.95,172,201.7,63.5,109449407,"18,825,347,151.75",372052
18-Nov-20,EQ,158.85,178.8,158.55,158,173,173.5,167.95,201.7,63.5,171801183,"28,854,826,175.25",551801
17-Nov-20,EQ,152.5,159.35,152.2,148.85,158,158,155.6,201.7,63.5,82644841,"12,859,206,594.55",358314
